Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bucculatrix humiliella voucher MM04046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix humiliella,706,706,100%,0.0,97.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872295.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""HM872295.1"")"
"Bucculatrix ratisbonensis voucher MM03949 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872248.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GJEE4XV016"",""HM872248.1"")"
"Bucculatrix artemisiella voucher MM03947 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Bucculatrix artemisiella,623,623,100%,1e-173,93.54,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU828698.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GJEE4XV016"",""GU828698.1"")"
"Bucculatrix sp. BIOUG23577-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG23577-F12,619,619,98%,1e-172,93.70,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359405.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GJEE4XV016"",""MG359405.1"")"
"Bucculatrix ratisbonensis voucher NHMO-08034 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,617,617,100%,4e-172,93.30,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048630.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GJEE4XV016"",""KX048630.1"")"
"Bucculatrix sp. BIOUG20477-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20477-E01,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG502586.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GJEE4XV016"",""MG502586.1"")"
"Bucculatrix sp. BIOUG20477-D08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20477-D08,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG500349.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GJEE4XV016"",""MG500349.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07907-G03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,612,612,100%,2e-170,93.08,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT142864.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GJEE4XV016"",""KT142864.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07391-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT138185.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GJEE4XV016"",""KT138185.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07391-H11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126381.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GJEE4XV016"",""KT126381.1"")"
"Bucculatrix notella voucher LGE-G508 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Bucculatrix notella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL415144.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GJEE4XV016"",""OL415144.1"")"
"Bucculatricidae sp. BIOUG22041-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG22041-C08,610,610,100%,7e-170,92.82,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG364495.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GJEE4XV016"",""MG364495.1"")"
"Bucculatricidae sp. BIOUG21329-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG21329-B11,606,606,100%,1e-168,92.82,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG469484.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GJEE4XV016"",""MG469484.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07391-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128937.1?report=genbank&log$=nucltop&blast_rank=24&RID=8GJEE4XV016"",""KT128937.1"")"
"Bucculatrix artemisiella voucher MM03944 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix artemisiella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872244.1?report=genbank&log$=nucltop&blast_rank=25&RID=8GJEE4XV016"",""HM872244.1"")"
"Bucculatrix nigricomella voucher BC ZSM Lep 35083 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563776.1?report=genbank&log$=nucltop&blast_rank=26&RID=8GJEE4XV016"",""HQ563776.1"")"
"Bucculatrix nigricomella voucher MM09948 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874496.1?report=genbank&log$=nucltop&blast_rank=27&RID=8GJEE4XV016"",""HM874496.1"")"
"Bucculatrix nigricomella voucher TLMF Lep 08408 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573294.1?report=genbank&log$=nucltop&blast_rank=28&RID=8GJEE4XV016"",""KM573294.1"")"
"Bucculatrix ivella voucher BIOUG<CAN>:10BBLEP-00946 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ivella,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ986095.1?report=genbank&log$=nucltop&blast_rank=29&RID=8GJEE4XV016"",""HQ986095.1"")"
"Bucculatrix splendida voucher LGE-G634 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Bucculatrix splendida,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ605711.1?report=genbank&log$=nucltop&blast_rank=30&RID=8GJEE4XV016"",""OQ605711.1"")"
"Bucculatrix fatigatella voucher TLMF Lep 11716 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix fatigatella,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP150200.1?report=genbank&log$=nucltop&blast_rank=31&RID=8GJEE4XV016"",""KP150200.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07212-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT146808.1?report=genbank&log$=nucltop&blast_rank=32&RID=8GJEE4XV016"",""KT146808.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07933-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145247.1?report=genbank&log$=nucltop&blast_rank=33&RID=8GJEE4XV016"",""KT145247.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03581-B07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540282.1?report=genbank&log$=nucltop&blast_rank=34&RID=8GJEE4XV016"",""KM540282.1"")"
"Bucculatrix noltei voucher MM25304 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix noltei,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608791.1?report=genbank&log$=nucltop&blast_rank=35&RID=8GJEE4XV016"",""MZ608791.1"")"
"Bucculatrix noltei voucher MM25290 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix noltei,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ607754.1?report=genbank&log$=nucltop&blast_rank=36&RID=8GJEE4XV016"",""MZ607754.1"")"
"Bucculatrix ratisbonensis voucher MM03948 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,590,590,94%,1e-163,93.45,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872247.1?report=genbank&log$=nucltop&blast_rank=37&RID=8GJEE4XV016"",""HM872247.1"")"
"Bucculatricidae sp. BOLD-2016 voucher BIOUG07907-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BOLD-2016,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129251.1?report=genbank&log$=nucltop&blast_rank=38&RID=8GJEE4XV016"",""KT129251.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-F01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,582,582,92%,2e-161,93.80,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143514.1?report=genbank&log$=nucltop&blast_rank=39&RID=8GJEE4XV016"",""KT143514.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10723-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,582,582,91%,2e-161,94.23,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136797.1?report=genbank&log$=nucltop&blast_rank=40&RID=8GJEE4XV016"",""KT136797.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10723-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,582,582,91%,2e-161,94.23,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129124.1?report=genbank&log$=nucltop&blast_rank=41&RID=8GJEE4XV016"",""KT129124.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10615-H11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,582,582,92%,2e-161,93.80,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128648.1?report=genbank&log$=nucltop&blast_rank=42&RID=8GJEE4XV016"",""KT128648.1"")"
"Bucculatricidae sp. BOLD-2016 voucher BIOUG07348-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BOLD-2016,579,579,99%,2e-160,91.81,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145921.1?report=genbank&log$=nucltop&blast_rank=43&RID=8GJEE4XV016"",""KT145921.1"")"
"Bucculatricidae sp. BOLD-2016 voucher BIOUG07257-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BOLD-2016,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT139951.1?report=genbank&log$=nucltop&blast_rank=44&RID=8GJEE4XV016"",""KT139951.1"")"
"Bucculatrix nigricomella voucher MM02626 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871640.1?report=genbank&log$=nucltop&blast_rank=45&RID=8GJEE4XV016"",""HM871640.1"")"
"Bucculatrix nigricomella voucher MM06615 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873367.1?report=genbank&log$=nucltop&blast_rank=46&RID=8GJEE4XV016"",""HM873367.1"")"
"Bucculatrix sp. BOLD:AAH5591 voucher BIOUG<CAN>:MDOK-3541 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAH5591,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM424001.1?report=genbank&log$=nucltop&blast_rank=47&RID=8GJEE4XV016"",""HM424001.1"")"
"Lepidoptera sp. BOLD:AAH5739 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAH5739,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM408618.1?report=genbank&log$=nucltop&blast_rank=48&RID=8GJEE4XV016"",""HM408618.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-F07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,571,571,90%,3e-158,93.92,619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136338.1?report=genbank&log$=nucltop&blast_rank=49&RID=8GJEE4XV016"",""KT136338.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-F04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,571,571,90%,3e-158,93.92,616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT134018.1?report=genbank&log$=nucltop&blast_rank=50&RID=8GJEE4XV016"",""KT134018.1"")"
"Bucculatrix cristatella voucher MM17952 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854010.1?report=genbank&log$=nucltop&blast_rank=51&RID=8GJEE4XV016"",""JF854010.1"")"
"Bucculatrix argentisignella voucher MM03951 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix argentisignella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872250.1?report=genbank&log$=nucltop&blast_rank=52&RID=8GJEE4XV016"",""HM872250.1"")"
"Bucculatrix cristatella voucher MM14469 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876109.1?report=genbank&log$=nucltop&blast_rank=53&RID=8GJEE4XV016"",""HM876109.1"")"
"Bucculatrix cristatella voucher MM06518 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,568,568,99%,5e-157,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873300.1?report=genbank&log$=nucltop&blast_rank=54&RID=8GJEE4XV016"",""HM873300.1"")"
"Bucculatrix artemisiella voucher MM03946 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix artemisiella,568,568,94%,5e-157,92.44,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872246.1?report=genbank&log$=nucltop&blast_rank=55&RID=8GJEE4XV016"",""HM872246.1"")"
"Bucculatrix sp. BOLD:AAH5186 voucher BIOUG<CAN>:09BBLEP-00892 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAH5186,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428699.1?report=genbank&log$=nucltop&blast_rank=56&RID=8GJEE4XV016"",""HM428699.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07348-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,566,566,94%,2e-156,92.62,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT133043.1?report=genbank&log$=nucltop&blast_rank=57&RID=8GJEE4XV016"",""KT133043.1"")"
"Bucculatrix argentisignella voucher MM03952 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix argentisignella,566,566,99%,2e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872251.1?report=genbank&log$=nucltop&blast_rank=58&RID=8GJEE4XV016"",""HM872251.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-E02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,564,564,89%,6e-156,93.85,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT138764.1?report=genbank&log$=nucltop&blast_rank=59&RID=8GJEE4XV016"",""KT138764.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,560,560,89%,8e-155,93.83,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT127342.1?report=genbank&log$=nucltop&blast_rank=60&RID=8GJEE4XV016"",""KT127342.1"")"
"Bucculatrix cristatella voucher MM03954 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872252.1?report=genbank&log$=nucltop&blast_rank=61&RID=8GJEE4XV016"",""HM872252.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07963-D01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,558,558,100%,3e-154,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT142701.1?report=genbank&log$=nucltop&blast_rank=62&RID=8GJEE4XV016"",""KT142701.1"")"
"Bucculatrix liubaensis voucher HAUHL017560 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix liubaensis,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK583315.1?report=genbank&log$=nucltop&blast_rank=63&RID=8GJEE4XV016"",""MK583315.1"")"
"Bucculatrix mirnae voucher IDEA009-03-02 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Bucculatrix mirnae,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF942336.1?report=genbank&log$=nucltop&blast_rank=64&RID=8GJEE4XV016"",""MF942336.1"")"
"Bucculatrix sp. BOLD-2016 voucher AC005179 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT146047.1?report=genbank&log$=nucltop&blast_rank=65&RID=8GJEE4XV016"",""KT146047.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07791-D08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144919.1?report=genbank&log$=nucltop&blast_rank=66&RID=8GJEE4XV016"",""KT144919.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG01146-B05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125652.1?report=genbank&log$=nucltop&blast_rank=67&RID=8GJEE4XV016"",""KT125652.1"")"
"Bucculatrix sp. BOLD:AAH5186 voucher BIOUG<CAN>:10BBLEP-00014 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAH5186,556,556,100%,1e-153,90.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ583180.1?report=genbank&log$=nucltop&blast_rank=68&RID=8GJEE4XV016"",""HQ583180.1"")"
"Bucculatricidae sp. BIOUG15051-H05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG15051-H05,555,555,99%,4e-153,90.65,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG469103.1?report=genbank&log$=nucltop&blast_rank=69&RID=8GJEE4XV016"",""MG469103.1"")"
"Bucculatricidae sp. BIOUG14743-E07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG14743-E07,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463626.1?report=genbank&log$=nucltop&blast_rank=70&RID=8GJEE4XV016"",""MG463626.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10723-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,555,555,86%,4e-153,94.21,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT138703.1?report=genbank&log$=nucltop&blast_rank=71&RID=8GJEE4XV016"",""KT138703.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-E05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,555,555,86%,4e-153,94.21,606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137379.1?report=genbank&log$=nucltop&blast_rank=72&RID=8GJEE4XV016"",""KT137379.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10723-C09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,555,555,86%,4e-153,94.21,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT124867.1?report=genbank&log$=nucltop&blast_rank=73&RID=8GJEE4XV016"",""KT124867.1"")"
