Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora badiipennella voucher MM25040 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,612,612,100%,2e-170,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608610.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""MZ608610.1"")"
"Coleophora milvipennis voucher MM14058 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,590,590,100%,1e-163,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875869.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""HM875869.1"")"
"Coleophora badiipennella voucher BIOUG03128-C06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,588,588,93%,3e-163,94.09,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551548.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""KM551548.1"")"
"Coleophora alnifoliae voucher MM18994 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alnifoliae,584,584,100%,4e-162,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782358.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""KT782358.1"")"
"Coleophora milvipennis voucher TLMF Lep 14927 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,584,584,100%,4e-162,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253737.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""KP253737.1"")"
"Coleophora milvipennis voucher MM06624 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,584,584,100%,4e-162,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873375.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""HM873375.1"")"
"Coleophora alnifoliae voucher MM15574 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alnifoliae,584,584,100%,4e-162,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876366.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""HM876366.1"")"
"Coleophora limosipennella voucher BIOUG<CAN>:2005-ONT-656 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,584,584,100%,4e-162,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU091007.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""GU091007.1"")"
"Coleophora badiipennella voucher jflandry2018 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,584,584,93%,4e-162,94.06,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096288.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""GU096288.1"")"
"Coleophora limosipennella voucher jflandry0853 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,582,582,100%,2e-161,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095730.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""GU095730.1"")"
"Coleophora alnifoliae voucher 08BBLEP-01481 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alnifoliae,579,579,100%,2e-160,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541774.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""KM541774.1"")"
"Coleophora milvipennis voucher TLMF Lep 09963 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,579,579,100%,2e-160,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573520.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KM573520.1"")"
"Coleophora milvipennis voucher TLMF Lep 02293 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,579,579,100%,2e-160,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859864.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""JF859864.1"")"
"Coleophora limosipennella voucher BIOUG<CAN>:2005-ONT-859 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,579,579,100%,2e-160,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU091009.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""GU091009.1"")"
"Coleophora alnifoliae voucher 10-JDWBC-0343 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alnifoliae,568,568,100%,4e-157,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM865292.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""HM865292.1"")"
"Coleophora badiipennella voucher jflandry2002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,568,568,88%,4e-157,94.81,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096287.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""GU096287.1"")"
"Coleophora badiipennella voucher BIOUG26214-B09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,564,564,87%,6e-156,94.78,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG360280.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""MG360280.1"")"
"Coleophora limosipennella voucher MM18160 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,556,556,100%,1e-153,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782673.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""KT782673.1"")"
"Coleophora comptoniella voucher jflandry1589 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora comptoniella,556,556,100%,1e-153,90.91,430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096297.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""GU096297.1"")"
"Coleophora comptoniella voucher jflandry1590 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora comptoniella,556,556,100%,1e-153,90.91,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096295.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""GU096295.1"")"
"Coleophora lentella voucher jflandry0673 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lentella,555,555,99%,3e-153,91.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095728.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""GU095728.1"")"
"Coleophora sp. BARS_2016_26_226 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BARS_2016_26_226,551,551,100%,4e-152,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG363688.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""MG363688.1"")"
"Coleophora cornella voucher BIOUG24090-E04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,551,551,100%,4e-152,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG358329.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""MG358329.1"")"
"Coleophora badiipennella voucher jflandry2019 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,551,551,86%,4e-152,94.43,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096289.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""GU096289.1"")"
"Coleophora cornella voucher jflandry0682 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,551,551,100%,4e-152,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095708.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""GU095708.1"")"
"Coleophora laticornella voucher BIOUG<CAN>:MDOK-2756 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora laticornella,545,545,100%,2e-150,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU801467.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""GU801467.1"")"
"Coleophora milvipennis voucher BC ZSM Lep 28449 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,544,544,87%,8e-150,93.92,565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM422206.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""HM422206.1"")"
"Coleophora lentella voucher jflandry0002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lentella,544,544,99%,8e-150,90.58,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095729.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""GU095729.1"")"
"Coleophora comptoniella voucher jflandry1594 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora comptoniella,540,540,97%,1e-148,90.71,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096296.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""GU096296.1"")"
"Coleophora sp. BARS_2016_24_112 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BARS_2016_24_112,538,538,99%,3e-148,90.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG364837.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""MG364837.1"")"
"Lepidoptera sp. BOLD:AAB0572 voucher BIOUG<CAN>:MDOK-4060 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora laticornella,538,538,99%,3e-148,90.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265343.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""JN265343.1"")"
"Coleophora cornella voucher BIOUG03216-D12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,532,532,93%,2e-146,91.52,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ090806.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""KJ090806.1"")"
"Coleophora limosipennella voucher MM10435 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,529,529,88%,2e-145,92.68,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874712.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""HM874712.1"")"
"Coleophora lentella voucher jflandry2001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lentella,527,527,92%,8e-145,91.64,559,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096322.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""GU096322.1"")"
"Coleophora laticornella voucher DNA-ATBI-3007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora laticornella,527,527,99%,8e-145,89.86,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088329.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""GU088329.1"")"
"Coleophora limosipennella voucher BIOUG26213-B02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,525,525,84%,3e-144,93.75,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG361305.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""MG361305.1"")"
"Coleophora limosipennella voucher BIOUG09652-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,525,525,84%,3e-144,93.75,584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR451815.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""KR451815.1"")"
"Coleophora lentella voucher jflandry1998 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lentella,523,523,91%,1e-143,91.60,416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096318.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""GU096318.1"")"
"Coleophora cornella voucher AC005161 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,521,521,92%,4e-143,91.38,571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135362.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""KT135362.1"")"
"Coleophora cornella voucher BIOUG03683-F01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,521,521,93%,4e-143,91.00,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ167076.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""KJ167076.1"")"
"Coleophora limosipennella voucher BIOUG20628-D09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,520,520,83%,1e-142,93.70,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG470078.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""MG470078.1"")"
"Coleophora sp. JFL187 voucher BIOUG<CAN>:MDOK-4018 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL187,518,518,100%,5e-142,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ989683.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""HQ989683.1"")"
"Coleophora lentella voucher jflandry1997 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lentella,518,518,88%,5e-142,92.14,418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096321.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""GU096321.1"")"
"Coleophora cornella voucher BIOUG20774-D11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,512,512,88%,2e-140,91.87,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG468834.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""MG468834.1"")"
"Coleophora cornella voucher BIOUG10778-A04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,512,512,88%,2e-140,91.87,613,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT139172.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""KT139172.1"")"
"Coleophora cornella voucher BIOUG10771-D08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,512,512,88%,2e-140,91.87,613,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137120.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""KT137120.1"")"
"Coleophora cornella voucher BIOUG10778-D07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,512,512,88%,2e-140,91.87,613,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT133693.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""KT133693.1"")"
"Coleophora corylifoliella voucher BIOUG02738-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora corylifoliella,512,512,100%,2e-140,89.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541089.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""KM541089.1"")"
"Coleophora cornella voucher BIOUG03683-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,512,512,91%,2e-140,91.08,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ444025.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""KJ444025.1"")"
"Coleophora limosipennella voucher BIOUG20540-D02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,508,508,82%,3e-139,93.59,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463746.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""MG463746.1"")"
"Coleophora limosipennella voucher BIOUG20628-D11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,508,508,82%,3e-139,93.59,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463303.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""MG463303.1"")"
"Coleophora limosipennella voucher BIOUG09652-F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,508,508,82%,3e-139,93.59,571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR448440.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""KR448440.1"")"
"Coleophora sp. JFL186 voucher BIOUG03514-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL186,508,508,91%,3e-139,90.84,622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ166013.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""KJ166013.1"")"
"Metriotes lutarea voucher MM20541 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Metriotes lutarea,507,507,100%,1e-138,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782598.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""KT782598.1"")"
"Metriotes lutarea voucher MM19542 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Metriotes lutarea,507,507,100%,1e-138,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782548.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""KT782548.1"")"
"Coleophora cornella voucher BIOUG03683-D05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,507,507,88%,1e-138,91.60,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ165393.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""KJ165393.1"")"
"Coleophora sp. QUEROB-HU-GO isolate 1824 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEROB-HU-GO,507,507,100%,1e-138,88.78,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441595.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""MW441595.1"")"
"Coleophora sp. QUEPET-HU-MA isolate 1674 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEPET-HU-MA,507,507,100%,1e-138,88.78,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441592.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""MW441592.1"")"
"Metriotes lutarea voucher Lep402 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Metriotes lutarea,507,507,100%,1e-138,88.76,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248864.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""JN248864.1"")"
"Coleophora flavipennella voucher Lep200 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,507,507,100%,1e-138,88.78,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248833.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""JN248833.1"")"
"Coleophora flavipennella voucher BC ZSM Lep 28446 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,507,507,100%,1e-138,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU707358.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""GU707358.1"")"
"Coleophora cornella voucher BIOUG20774-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cornella,503,503,87%,1e-137,91.76,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464309.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""MG464309.1"")"
"Coleophora limosipennella voucher BIOUG08677-A11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,503,503,82%,1e-137,93.29,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR450400.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""KR450400.1"")"
"Coleophora hemerobiella voucher NHMO-08208 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora hemerobiella,501,501,100%,5e-137,88.52,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049664.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""KX049664.1"")"
"Coleophora spiraeella voucher BC ZSM Lep 50836 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora spiraeella,501,501,100%,5e-137,88.52,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040363.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""KX040363.1"")"
"Coleophora limosipennella voucher BIOUG09652-E03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora limosipennella,501,501,81%,5e-137,93.51,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR449024.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""KR449024.1"")"
"Coleophora flavipennella voucher TLMF Lep 08256 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,501,501,100%,5e-137,88.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572956.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""KM572956.1"")"
