Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bucculatrix notella voucher LGE-G508 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Bucculatrix notella,649,649,99%,0.0,94.72,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL415144.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""OL415144.1"")"
"Bucculatrix fatigatella voucher TLMF Lep 11716 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix fatigatella,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP150200.1?report=genbank&log$=nucltop&blast_rank=40&RID=8GJEE4XV016"",""KP150200.1"")"
"Bucculatrix atagina voucher TLMF Lep 03961 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix atagina,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN307767.1?report=genbank&log$=nucltop&blast_rank=41&RID=8GJEE4XV016"",""JN307767.1"")"
"Bucculatrix cristatella voucher MM03955 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,575,575,93%,3e-159,93.11,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872253.1?report=genbank&log$=nucltop&blast_rank=42&RID=8GJEE4XV016"",""HM872253.1"")"
"Bucculatricidae sp. BIOUG20960-G12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG20960-G12,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG468588.1?report=genbank&log$=nucltop&blast_rank=43&RID=8GJEE4XV016"",""MG468588.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07933-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145247.1?report=genbank&log$=nucltop&blast_rank=44&RID=8GJEE4XV016"",""KT145247.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07791-C09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135850.1?report=genbank&log$=nucltop&blast_rank=45&RID=8GJEE4XV016"",""KT135850.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10615-H11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,571,571,93%,3e-158,93.08,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128648.1?report=genbank&log$=nucltop&blast_rank=46&RID=8GJEE4XV016"",""KT128648.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07391-H11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126381.1?report=genbank&log$=nucltop&blast_rank=47&RID=8GJEE4XV016"",""KT126381.1"")"
"Bucculatrix nigricomella voucher BC ZSM Lep 35083 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,571,571,99%,3e-158,91.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563776.1?report=genbank&log$=nucltop&blast_rank=48&RID=8GJEE4XV016"",""HQ563776.1"")"
"Bucculatrix nigricomella voucher MM09948 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,571,571,99%,3e-158,91.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874496.1?report=genbank&log$=nucltop&blast_rank=49&RID=8GJEE4XV016"",""HM874496.1"")"
"Bucculatrix humiliella voucher MM04046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix humiliella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872295.1?report=genbank&log$=nucltop&blast_rank=50&RID=8GJEE4XV016"",""HM872295.1"")"
"Bucculatrix nigricomella voucher TLMF Lep 08408 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix nigricomella,571,571,99%,3e-158,91.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573294.1?report=genbank&log$=nucltop&blast_rank=51&RID=8GJEE4XV016"",""KM573294.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07466-G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,569,569,88%,1e-157,94.34,611,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT134588.1?report=genbank&log$=nucltop&blast_rank=52&RID=8GJEE4XV016"",""KT134588.1"")"
"Bucculatrix sp. BIOUG20477-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20477-E01,566,566,99%,2e-156,91.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG502586.1?report=genbank&log$=nucltop&blast_rank=53&RID=8GJEE4XV016"",""MG502586.1"")"
"Bucculatrix sp. BIOUG20477-D08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20477-D08,566,566,99%,2e-156,91.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG500349.1?report=genbank&log$=nucltop&blast_rank=54&RID=8GJEE4XV016"",""MG500349.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07791-D08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,566,566,99%,2e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144919.1?report=genbank&log$=nucltop&blast_rank=55&RID=8GJEE4XV016"",""KT144919.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG01146-B05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,566,566,99%,2e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125652.1?report=genbank&log$=nucltop&blast_rank=56&RID=8GJEE4XV016"",""KT125652.1"")"
"Bucculatrix sp. BOLD:AAH5591 voucher BIOUG<CAN>:MDOK-3541 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAH5591,566,566,99%,2e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM424001.1?report=genbank&log$=nucltop&blast_rank=57&RID=8GJEE4XV016"",""HM424001.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10631-F01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,560,560,92%,8e-155,92.76,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143514.1?report=genbank&log$=nucltop&blast_rank=58&RID=8GJEE4XV016"",""KT143514.1"")"
"Bucculatricidae sp. BOLD-2016 voucher BIOUG07257-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BOLD-2016,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT139951.1?report=genbank&log$=nucltop&blast_rank=59&RID=8GJEE4XV016"",""KT139951.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10723-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,560,560,91%,8e-155,93.18,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136797.1?report=genbank&log$=nucltop&blast_rank=60&RID=8GJEE4XV016"",""KT136797.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG10723-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,560,560,91%,8e-155,93.18,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129124.1?report=genbank&log$=nucltop&blast_rank=61&RID=8GJEE4XV016"",""KT129124.1"")"
"Bucculatrix sexnotata voucher jflandry0734 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sexnotata,560,560,99%,8e-155,90.89,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095579.1?report=genbank&log$=nucltop&blast_rank=62&RID=8GJEE4XV016"",""GU095579.1"")"
"Bucculatrix sexnotata voucher jflandry0043 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sexnotata,560,560,99%,8e-155,90.89,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095578.1?report=genbank&log$=nucltop&blast_rank=63&RID=8GJEE4XV016"",""GU095578.1"")"
"Zeuzera coffeae isolate PZLS9 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862853.1?report=genbank&log$=nucltop&blast_rank=64&RID=8GJEE4XV016"",""ON862853.1"")"
"Zeuzera coffeae isolate PZLS6 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862850.1?report=genbank&log$=nucltop&blast_rank=65&RID=8GJEE4XV016"",""ON862850.1"")"
"Zeuzera coffeae isolate PZLS3 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862847.1?report=genbank&log$=nucltop&blast_rank=66&RID=8GJEE4XV016"",""ON862847.1"")"
"Zeuzera coffeae isolate PZLS1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862845.1?report=genbank&log$=nucltop&blast_rank=67&RID=8GJEE4XV016"",""ON862845.1"")"
"Zeuzera coffeae isolate PZJH34 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862843.1?report=genbank&log$=nucltop&blast_rank=68&RID=8GJEE4XV016"",""ON862843.1"")"
"Zeuzera coffeae isolate PZJH32 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862841.1?report=genbank&log$=nucltop&blast_rank=69&RID=8GJEE4XV016"",""ON862841.1"")"
"Zeuzera coffeae isolate PZJH31 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862840.1?report=genbank&log$=nucltop&blast_rank=70&RID=8GJEE4XV016"",""ON862840.1"")"
"Zeuzera coffeae isolate PZJH30 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862839.1?report=genbank&log$=nucltop&blast_rank=71&RID=8GJEE4XV016"",""ON862839.1"")"
"Zeuzera coffeae isolate PZJH29 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862838.1?report=genbank&log$=nucltop&blast_rank=72&RID=8GJEE4XV016"",""ON862838.1"")"
"Zeuzera coffeae isolate PZJH28 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862837.1?report=genbank&log$=nucltop&blast_rank=73&RID=8GJEE4XV016"",""ON862837.1"")"
"Zeuzera coffeae isolate PZJH27 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862836.1?report=genbank&log$=nucltop&blast_rank=74&RID=8GJEE4XV016"",""ON862836.1"")"
