Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella glutinosae voucher RMNH.INS.11343 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281372.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX281372.1"")"
"Stigmella alnetella voucher MM10673 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella alnetella,601,601,95%,4e-167,93.75,641,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874848.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""HM874848.1"")"
"Stigmella microtheriella voucher KLM Lep 00286 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046110.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KX046110.1"")"
"Stigmella microtheriella voucher MM07009 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873630.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""HM873630.1"")"
"Stigmella corylifoliella voucher BIOUG05153-F09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,597,597,93%,6e-166,94.34,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550151.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""KM550151.1"")"
"Stigmella corylifoliella voucher BIOUG05153-D02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,597,597,93%,6e-166,94.34,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM547584.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""KM547584.1"")"
"Stigmella corylifoliella voucher BIOUG05153-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,597,597,93%,6e-166,94.34,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541970.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""KM541970.1"")"
"Stigmella sp. AlnusCalifornia voucher RMNH.INS.29633 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. AlnusCalifornia,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281458.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""KX281458.1"")"
"Stigmella sp. CarpinusVietnam voucher RMNH.INS.11566 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. CarpinusVietnam,595,595,99%,2e-165,92.55,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281337.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""KX281337.1"")"
"Stigmella betulicola voucher RMNH.INS.11438 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,595,595,100%,2e-165,92.34,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281327.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""KX281327.1"")"
"Stigmella betulicola voucher MM15178 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853530.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""JF853530.1"")"
"Stigmella betulicola voucher MM15177 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853529.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""JF853529.1"")"
"Stigmella betulicola voucher MM15176 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853528.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""JF853528.1"")"
"Stigmella luteella voucher MM18053 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854088.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""JF854088.1"")"
"Stigmella luteella voucher MM00928 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871264.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""HM871264.1"")"
"Stigmella longisacca voucher RMNH.INS.29627 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella longisacca,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281336.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""KX281336.1"")"
"Stigmella betulicola voucher BIOUG03102-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540541.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""KM540541.1"")"
"Stigmella nivenburgensis voucher TLMF Lep 27071 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nivenburgensis,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW378692.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""MW378692.1"")"
"Stigmella luteella voucher KLM Lep 00297 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047523.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""KX047523.1"")"
"Stigmella luteella voucher MM00927 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871263.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""HM871263.1"")"
"Stigmella nr. corylifoliella BOLD-2016 voucher BIOUG02500-E02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nr. corylifoliella BOLD-2016,586,586,89%,1e-162,94.92,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT141987.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""KT141987.1"")"
"Stigmella betulicola voucher BIOUG03508-A10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554730.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""KM554730.1"")"
"Stigmella sp. THS-20160050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. THS-20160050,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610624.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""MZ610624.1"")"
"Stigmella betulicola voucher BIOUG07429-F09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,579,579,100%,2e-160,91.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143503.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""KT143503.1"")"
"Stigmella sakhalinella voucher RMNH.INS.12647 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sakhalinella,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281425.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""KX281425.1"")"
"Stigmella sashai voucher RMNH.INS.29234 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sashai,573,573,99%,1e-158,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281235.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""KX281235.1"")"
"Stigmella sp. BOLD-2016 voucher BIOUG10771-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD-2016,573,573,86%,1e-158,95.29,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126926.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""KT126926.1"")"
"Stigmella betulicola voucher BIOUG03102-C12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM539774.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""KM539774.1"")"
"Stigmella corylifoliella voucher BIOUG05153-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,571,571,88%,3e-158,94.35,613,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545899.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""KM545899.1"")"
"Stigmella myricafoliella voucher RMNH.INS.12523 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,569,569,98%,1e-157,91.71,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281356.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""KX281356.1"")"
"Stigmella sp. BIOUG02538-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG02538-G02,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX862549.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""KX862549.1"")"
"Stigmella corylifoliella voucher BIOUG14889-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,564,564,85%,6e-156,94.99,599,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144953.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""KT144953.1"")"
"Stigmella microtheriella voucher BIOUG07001-D03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,564,564,89%,6e-156,93.85,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM539697.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""KM539697.1"")"
"Stigmella corylifoliella voucher BIOUG14948-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,562,562,84%,2e-155,95.21,570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG466121.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""MG466121.1"")"
"Stigmella betulicola voucher BIOUG07054-C12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT140839.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""KT140839.1"")"
"Stigmella corylifoliella voucher BIOUG12352-E07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,556,556,84%,1e-153,95.17,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR450316.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""KR450316.1"")"
"Stigmella sp. BOLD:ABX9484 voucher BIOUG11845-G01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD:ABX9484,556,556,84%,1e-153,95.17,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR450155.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""KR450155.1"")"
"Stigmella corylifoliella voucher BIOUG12352-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,556,556,84%,1e-153,95.17,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR454749.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""KR454749.1"")"
"Stigmella corylifoliella voucher BIOUG14925-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463865.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""MG463865.1"")"
"Stigmella corylifoliella voucher BIOUG14925-D11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG463627.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""MG463627.1"")"
"Stigmella betulicola voucher BIOUG16926-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,555,555,93%,4e-153,92.31,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT140559.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""KT140559.1"")"
"Stigmella sp. BOLD:ABX9484 voucher BIOUG11001-D01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD:ABX9484,555,555,83%,4e-153,95.40,592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR451449.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""KR451449.1"")"
"Stigmella corylifoliella voucher BIOUG12448-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR448807.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""KR448807.1"")"
"Stigmella corylifoliella voucher BIOUG12280-A09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR447049.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""KR447049.1"")"
"Stigmella corylifoliella voucher BIOUG12448-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR445871.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""KR445871.1"")"
"Stigmella corylifoliella voucher BIOUG12448-A05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,555,555,83%,4e-153,95.40,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR452489.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""KR452489.1"")"
"Stigmella sp. FicusauriculataVietnam voucher RMNH.INS.17987 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. FicusauriculataVietnam,551,551,99%,5e-152,90.60,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281460.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""KX281460.1"")"
"Stigmella corylifoliella voucher BIOUG19242-A11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,551,551,85%,5e-152,94.41,597,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR940384.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""KR940384.1"")"
"Stigmella myricafoliella voucher BIOUG19193-E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,551,551,91%,5e-152,92.67,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR937436.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""KR937436.1"")"
"Stigmella corylifoliella voucher BIOUG14712-C12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,551,551,82%,5e-152,95.38,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT133912.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""KT133912.1"")"
"Stigmella corylifoliella voucher BIOUG14925-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,549,549,83%,2e-151,95.11,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464491.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""MG464491.1"")"
"Stigmella corylifoliella voucher BIOUG12448-D02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,549,549,83%,2e-151,95.11,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR453179.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""KR453179.1"")"
"Stigmella myricafoliella voucher BIOUG20774-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,545,545,90%,2e-150,92.61,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG466280.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""MG466280.1"")"
"Stigmella juglandifoliella voucher BIOUG20530-G10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella juglandifoliella,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464104.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""MG464104.1"")"
"Stigmella sp. ZiziphusOman voucher RMNH.INS.30286 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. ZiziphusOman,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281343.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""KX281343.1"")"
"Stigmella tiliae voucher RMNH.INS.11750 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tiliae,545,545,100%,2e-150,90.19,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281234.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""KX281234.1"")"
"Stigmella myricafoliella voucher BIOUG19193-E12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,545,545,91%,2e-150,92.41,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR939887.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""KR939887.1"")"
