Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Notocelia roborana voucher MM01968 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871346.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM871346.1"")"
"Notocelia cynosbatella voucher MM01972 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871348.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""HM871348.1"")"
"Notocelia cynosbatella voucher TLMF Lep 00679 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM426040.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""HM426040.1"")"
"Notocelia cynosbatella voucher BC ZSM Lep 23530 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706708.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""GU706708.1"")"
"Notocelia cynosbatella voucher BC ZSM Lep 23290 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706398.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""GU706398.1"")"
"Eucosma sp. 2 BOLD-2016 voucher 07PROBE-10765 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma sp. 2 BOLD-2016,566,566,99%,2e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT133184.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""KT133184.1"")"
"Lepidoptera sp. BOLD:AAA4035 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAA4035,566,566,99%,2e-156,91.13,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM430070.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""HM430070.1"")"
"Eucosma formosana voucher MNBTT-1534 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma formosana,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145760.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""KT145760.1"")"
"Eucosma umbrastriana voucher Moth4071.03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma umbrastriana,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137431.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""KT137431.1"")"
"Phaneta indeterminana voucher 2005-ONT-293 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta indeterminana,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125104.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""KT125104.1"")"
"Notocelia cynosbatella voucher RMNH.INS.540683 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,562,562,100%,2e-155,90.95,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049072.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""KX049072.1"")"
"Eucosma aspidiscana voucher MM18338 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma aspidiscana,562,562,100%,2e-155,90.91,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX041254.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""KX041254.1"")"
"Phaneta ferruginana voucher PPBP-0454 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta ferruginana,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554414.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""KM554414.1"")"
"Epiblema sp. BOLD:AAG0323 voucher 10BBCLP-2631 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema sp. BOLD:AAG0323,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551173.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""KM551173.1"")"
"Eucosma morrisoni voucher 08BBLEP-01497 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma morrisoni,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541586.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""KM541586.1"")"
"Syntozyga spirographa voucher C2020130 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Syntozyga spirographa,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW187147.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""MW187147.1"")"
"Phaneta offectalis voucher TOR-DNA-0691 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta offectalis,562,562,100%,2e-155,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430529.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""KC430529.1"")"
"Lepidoptera sp. BOLD:AAU7756 voucher BIOUG<CAN>:MDOK-4294 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta sp. BOLD:AAU7756,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN305874.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""JN305874.1"")"
"Notocelia cynosbatella voucher TLMF Lep 02162 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859746.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""JF859746.1"")"
"Pelochrista sp. BOLD:AAH5188 voucher BIOUG<CAN>:09BBLEP-00899 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pelochrista sp. BOLD:AAH5188,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428701.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""HM428701.1"")"
"Notocelia cynosbatella voucher MM13185 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875523.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""HM875523.1"")"
"Eucosma suomiana voucher MM11030 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma suomiana,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874942.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""HM874942.1"")"
"Notocelia cynosbatella voucher BC ZSM Lep 23529 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706709.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""GU706709.1"")"
"Tortricidae gen. tortBioLep01 sp. BioLep01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Tortricidae gen. tortBioLep01 sp. BioLep01,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ546548.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""JQ546548.1"")"
"Tortricidae sp. Lep5386 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Tortricidae sp. Lep5386,556,556,100%,1e-153,90.67,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN132459.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""MN132459.1"")"
"Eucosma essexana voucher 05-ONMIS-0054 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma essexana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT141570.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""KT141570.1"")"
"Eucosma ferruginana voucher 2005-ONT-138 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma ferruginana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT133255.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""KT133255.1"")"
"Phaneta essexana voucher MNBTT-1686 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta essexana,556,556,100%,1e-153,90.67,656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT124986.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""KT124986.1"")"
"Notocelia cynosbatella voucher RMNH.INS.540681 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,556,556,100%,1e-153,90.67,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX050000.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""KX050000.1"")"
"Notocelia cynosbatella voucher RMNH.INS.538770 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048024.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""KX048024.1"")"
"Eucosma morrisoni voucher 10BBCLP-2967 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma morrisoni,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541443.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""KM541443.1"")"
"Syntozyga spirographa voucher CYWX099 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Syntozyga spirographa,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW187156.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""MW187156.1"")"
"Tortricidae sp. voucher BIOUG22609-C06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Tortricidae sp.,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM547781.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""OM547781.1"")"
"Phaneta indagatricana voucher TOR-DNA-467 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta indagatricana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430525.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""KC430525.1"")"
"Phaneta umbrastriana voucher TOR-DNA-0258 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta umbrastriana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430524.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""KC430524.1"")"
"Eucosma giganteana voucher TOR-DNA-0574 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma giganteana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430505.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""KC430505.1"")"
"Eucosma metzneriana voucher TORTAG-TMG-175 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma metzneriana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430493.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""KC430493.1"")"
"Pelochrista smithiana voucher BIOUG<CAN>:CMAZ-0637 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pelochrista smithiana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847039.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""JF847039.1"")"
"Eucosma aspidiscana voucher MM09962 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma aspidiscana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853454.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""JF853454.1"")"
"Eucosma suomiana voucher MM05696 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma suomiana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872895.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""HM872895.1"")"
"Eucosma saussureana voucher MM15728 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma saussureana,556,556,100%,1e-153,90.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876512.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""HM876512.1"")"
"Epiblema sp. BOLD:AAH5060 voucher BIOUG<CAN>:09BBLEP-01803 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema sp. BOLD:AAH5060,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM427240.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""HM427240.1"")"
"Eucosma ochrocephala voucher BIOUG<CAN>:MDOK-3245 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma ochrocephala,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU802083.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""GU802083.1"")"
"Eucosma metzneriana voucher BC ZSM Lep 23280 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma metzneriana,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706393.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""GU706393.1"")"
"Apotomis infida voucher BIOUG<CAN>:04HBL003165 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Apotomis infida,556,556,100%,1e-153,90.71,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096649.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""GU096649.1"")"
"Apotomis infida voucher BIOUG<CAN>:04HBL003204 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Apotomis infida,556,556,100%,1e-153,90.71,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096648.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""GU096648.1"")"
"Ancylis metamelana voucher AVBC 1121-11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis metamelana,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145603.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""KT145603.1"")"
"Apotomis infida voucher 07PROBE-10416 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Apotomis infida,555,555,99%,4e-153,90.69,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135523.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""KT135523.1"")"
"Ancylis metamelana voucher BIOUG<CAN>:AVBC 374-10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis metamelana,555,555,99%,4e-153,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF852807.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""JF852807.1"")"
"Phaneta essexana voucher MNBTT-1736 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta essexana,553,553,99%,1e-152,90.62,656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128742.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""KT128742.1"")"
"Eucosma essexana voucher MNBTT-1804 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma essexana,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT142204.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""KT142204.1"")"
"Pelochrista morrisoni voucher 04HBL006446 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pelochrista morrisoni,551,551,100%,5e-152,90.43,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT138024.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""KT138024.1"")"
"Phaneta ochrocephala voucher 2005-ONT-1363 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta ochrocephala,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126273.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""KT126273.1"")"
