Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora serratella voucher BIOUG02881-F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,767,767,100%,0.0,99.76,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125113.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KT125113.1"")"
"Coleophora serratella voucher UBC-2007-0869 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412318.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""FJ412318.1"")"
"Coleophora spinella voucher BIOUG01292-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora spinella,754,754,99%,0.0,99.28,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT147458.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""KT147458.1"")"
"Coleophora serratella voucher MM23365 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,745,745,100%,0.0,98.80,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ607278.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""MZ607278.1"")"
"Coleophora serratella voucher MM02502 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,745,745,100%,0.0,98.80,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871577.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""HM871577.1"")"
"Coleophora serratella voucher MM03484 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,745,745,100%,0.0,98.80,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871986.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""HM871986.1"")"
"Coleophora nr. spinella BOLD-2016 voucher BIOUG02618-F06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nr. spinella BOLD-2016,715,715,93%,0.0,99.74,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136406.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KT136406.1"")"
"Coleophora serratella voucher jflandry2007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,715,715,93%,0.0,99.74,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096376.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""GU096376.1"")"
"Coleophora nr. spinella BOLD-2016 voucher BIOUG02618-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nr. spinella BOLD-2016,712,712,92%,0.0,99.74,628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144539.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""KT144539.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG09593-B10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,708,708,93%,0.0,98.98,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR448316.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""KR448316.1"")"
"Coleophora nr. spinella BOLD-2016 voucher BIOUG02618-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nr. spinella BOLD-2016,706,706,92%,0.0,99.74,625,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT138395.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KT138395.1"")"
"Coleophora coracipennella voucher UKLB39E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora coracipennella,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX042960.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""KX042960.1"")"
"Coleophora prunifoliae voucher Lep220 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora prunifoliae,689,689,100%,0.0,96.41,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248852.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""JN248852.1"")"
"Coleophora nr. spinella BOLD-2016 voucher BIOUG02385-D04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nr. spinella BOLD-2016,688,688,89%,0.0,99.73,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT142078.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""KT142078.1"")"
"Coleophora serratella voucher MM06761 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,686,686,89%,0.0,99.73,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873468.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""HM873468.1"")"
"Coleophora spinella voucher BIOUG02385-B07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora spinella,682,682,90%,0.0,99.21,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT147815.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""KT147815.1"")"
"Coleophora spinella voucher MM23453 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora spinella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782685.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""KT782685.1"")"
"Coleophora serratella voucher BIOUG02834-B10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,667,667,87%,0.0,99.73,594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145307.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""KT145307.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG10144-H01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,667,667,87%,0.0,99.73,604,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR449129.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""KR449129.1"")"
"Coleophora serratella voucher BIOUG02618-C01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,665,665,89%,0.0,98.67,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126748.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""KT126748.1"")"
"Coleophora sp. BIOUG14741-E12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BIOUG14741-E12,662,662,86%,0.0,99.72,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464759.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""MG464759.1"")"
"Coleophora spinella voucher Lep199 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora spinella,662,662,100%,0.0,95.22,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248832.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""JN248832.1"")"
"Coleophora serratella voucher BIOUG02834-G03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,656,656,87%,0.0,99.18,594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145486.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""KT145486.1"")"
"Coleophora spinella voucher BIOUG01146-A12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora spinella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT140773.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""KT140773.1"")"
"Coleophora serratella voucher BIOUG02834-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,645,645,87%,2e-180,98.63,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143286.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""KT143286.1"")"
"Coleophora serratella voucher BIOUG02834-F04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,645,645,84%,2e-180,99.72,561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136433.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""KT136433.1"")"
"Coleophora serratella voucher BIOUG02834-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,645,645,87%,2e-180,98.63,604,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129925.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""KT129925.1"")"
"Coleophora hemerobiella voucher Lep228 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora hemerobiella,645,645,100%,2e-180,94.50,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248859.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""JN248859.1"")"
"Coleophora hemerobiella voucher BC ZSM Lep 28810 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora hemerobiella,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955460.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""HQ955460.1"")"
"Coleophora hemerobiella voucher NHMO-08208 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora hemerobiella,641,641,100%,3e-179,94.26,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049664.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""KX049664.1"")"
"Coleophora sp. BOLD-2016 voucher BIOUG10778-B10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD-2016,640,640,86%,9e-179,98.61,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT146371.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""KT146371.1"")"
"Coleophora serratella voucher BIOUG02834-H06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,640,640,86%,9e-179,98.61,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144746.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""KT144746.1"")"
"Coleophora serratella voucher BIOUG02834-F08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,640,640,83%,9e-179,99.71,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143291.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""KT143291.1"")"
"Coleophora serratella voucher BIOUG02834-D12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,640,640,83%,9e-179,99.71,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT141513.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""KT141513.1"")"
"Coleophora serratella voucher BIOUG02834-H01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,640,640,83%,9e-179,99.71,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT131690.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""KT131690.1"")"
"Coleophora sp. BOLD-2016 voucher BIOUG07223-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD-2016,640,640,83%,9e-179,99.71,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128929.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""KT128929.1"")"
"Coleophora spiraeella voucher BC ZSM Lep 50836 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora spiraeella,640,640,100%,9e-179,94.26,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040363.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""KX040363.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG09652-G12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,640,640,83%,9e-179,99.71,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR448803.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""KR448803.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG12391-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,640,640,83%,9e-179,99.71,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR447403.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""KR447403.1"")"
"Coleophora sp. QUEROB-HU-GO isolate 1824 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEROB-HU-GO,640,640,100%,9e-179,94.26,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441595.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""MW441595.1"")"
"Coleophora sp. QUEPET-HU-MA isolate 1674 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEPET-HU-MA,640,640,100%,9e-179,94.26,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441592.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""MW441592.1"")"
"Coleophora flavipennella voucher Lep200 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,640,640,100%,9e-179,94.26,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248833.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""JN248833.1"")"
"Coleophora spiraeella voucher Lep167 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora spiraeella,640,640,100%,9e-179,94.26,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248804.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""JN248804.1"")"
"Coleophora flavipennella voucher BC ZSM Lep 28446 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU707358.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""GU707358.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG08677-D03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,634,634,83%,4e-177,99.43,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR448362.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""KR448362.1"")"
"Coleophora flavipennella voucher TLMF Lep 08256 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572956.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""KM572956.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG12537-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,628,628,82%,2e-175,99.71,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR449766.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""KR449766.1"")"
"Coleophora sp. QUEPET-HU-MA isolate 1675 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEPET-HU-MA,628,628,100%,2e-175,93.78,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441593.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""MW441593.1"")"
"Coleophora sp. QUEROB-CH-AU isolate 1047 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEROB-CH-AU,628,628,100%,2e-175,93.78,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441589.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""MW441589.1"")"
"Coleophora flavipennella voucher TLMF Lep 08238 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM571947.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""KM571947.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG10972-C05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,625,625,81%,3e-174,99.71,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR445899.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""KR445899.1"")"
"Coleophora serratella voucher BIOUG02835-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,623,623,83%,1e-173,98.85,561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128545.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""KT128545.1"")"
"Coleophora sp. BOLD:AAB5543 voucher BIOUG11491-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. BOLD:AAB5543,623,623,83%,1e-173,98.85,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR452625.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""KR452625.1"")"
"Coleophora flavipennella genome assembly, organelle: mitochondrion",Coleophora flavipennella,623,623,100%,1e-173,93.54,15766,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX369310.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""OX369310.1"")"
"Coleophora sp. QUEROB-CH-AU isolate 1134 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. QUEROB-CH-AU,623,623,100%,1e-173,93.54,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441440.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""MW441440.1"")"
"Coleophora flavipennella voucher MM06704 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873428.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""HM873428.1"")"
"Coleophora flavipennella voucher TLMF Lep 08416 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573548.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""KM573548.1"")"
"Coleophora coracipennella voucher UKLB42C10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora coracipennella,621,621,89%,3e-173,96.78,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043976.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""KX043976.1"")"
"Coleophora flavipennella voucher MM09776 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora flavipennella,619,619,100%,1e-172,93.32,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874431.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""HM874431.1"")"
"Coleophora serratella voucher BIOUG02835-F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,617,617,80%,4e-172,99.70,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143930.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""KT143930.1"")"
"Coleophora serratella voucher MM09707 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,614,614,80%,6e-171,99.70,562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM386972.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""HM386972.1"")"
"Coleophora serratella voucher BIOUG02385-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,612,612,92%,2e-170,95.32,625,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT146648.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""KT146648.1"")"
"Coleophora serratella voucher BIOUG02835-H10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,612,612,80%,2e-170,99.41,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125059.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""KT125059.1"")"
"Coleophora berbera voucher MM21601 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora berbera,612,612,100%,2e-170,93.08,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX050023.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""KX050023.1"")"
"Coleophora lutipennella voucher UKLB38E03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora lutipennella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX042837.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""KX042837.1"")"
"Coleophora nubivagella voucher TLMF Lep 03643 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nubivagella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265733.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""JN265733.1"")"
