Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella lapponica voucher MM02646 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782327.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""KT782327.1"")"
"Stigmella lapponica voucher BIOUG17245-E04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,634,634,83%,4e-177,99.43,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT139408.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNGZJNE013"",""KT139408.1"")"
"Stigmella lapponica voucher BIOUG13666-E05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,623,623,82%,1e-173,99.42,584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136976.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GNGZJNE013"",""KT136976.1"")"
"Stigmella sp. amelanchier_yellow_usa voucher BIOUG03484-B09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. amelanchier_yellow_usa,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM543342.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GNGZJNE013"",""KM543342.1"")"
"Stigmella lapponica voucher BIOUG13620-E02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,617,617,82%,4e-172,99.13,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT145391.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GNGZJNE013"",""KT145391.1"")"
"Stigmella sp. BOLD:ACI6567 voucher BIOUG06814-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD:ACI6567,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541475.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GNGZJNE013"",""KM541475.1"")"
"Stigmella sp. BOLD-2016 voucher BIOUG16764-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD-2016,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137245.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GNGZJNE013"",""KT137245.1"")"
"Stigmella confusella voucher BIOUG17864-B10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,606,606,89%,1e-168,95.74,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT146159.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GNGZJNE013"",""KT146159.1"")"
"Stigmella sp. MalusOR voucher RMNH.INS.18160 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. MalusOR,601,601,99%,4e-167,92.77,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281389.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GNGZJNE013"",""KX281389.1"")"
"Stigmella quercipulchella voucher jflandry0490 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,597,597,99%,6e-166,92.55,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096108.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GNGZJNE013"",""GU096108.1"")"
"Stigmella suberivora voucher RMNH.INS.24311 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella suberivora,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281393.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GNGZJNE013"",""KX281393.1"")"
"Stigmella quercipulchella voucher jflandry0491 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,592,592,99%,3e-164,92.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096109.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GNGZJNE013"",""GU096109.1"")"
"Stigmella rhamnicola voucher BIOUG01521-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhamnicola,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135205.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GNGZJNE013"",""KT135205.1"")"
"Stigmella lapponica voucher BIOUG17934-G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,590,590,77%,1e-163,99.38,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125546.1?report=genbank&log$=nucltop&blast_rank=24&RID=8GNGZJNE013"",""KT125546.1"")"
"Stigmella catharticella voucher MM00879 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871236.1?report=genbank&log$=nucltop&blast_rank=25&RID=8GNGZJNE013"",""HM871236.1"")"
"Stigmella catharticella voucher MM09645 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874400.1?report=genbank&log$=nucltop&blast_rank=26&RID=8GNGZJNE013"",""HM874400.1"")"
"Stigmella catharticella voucher RMNH.INS.11269 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281254.1?report=genbank&log$=nucltop&blast_rank=27&RID=8GNGZJNE013"",""KX281254.1"")"
"Stigmella rhamnicola voucher BIOUG01503-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhamnicola,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126481.1?report=genbank&log$=nucltop&blast_rank=28&RID=8GNGZJNE013"",""KT126481.1"")"
"Stigmella rosaefoliella voucher BIOUG03431-B02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rosaefoliella,584,584,100%,4e-162,91.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM543416.1?report=genbank&log$=nucltop&blast_rank=29&RID=8GNGZJNE013"",""KM543416.1"")"
"Stigmella catharticella voucher MM00878 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871235.1?report=genbank&log$=nucltop&blast_rank=30&RID=8GNGZJNE013"",""HM871235.1"")"
"Stigmella rhamnicola voucher BIOUG01503-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhamnicola,579,579,100%,2e-160,91.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144326.1?report=genbank&log$=nucltop&blast_rank=31&RID=8GNGZJNE013"",""KT144326.1"")"
"Nepticulidae sp. BOLD-2016 voucher BIOUG17944-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD-2016,579,579,86%,2e-160,95.57,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126105.1?report=genbank&log$=nucltop&blast_rank=32&RID=8GNGZJNE013"",""KT126105.1"")"
"Stigmella suberivora voucher KLM Lep 00280 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella suberivora,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047368.1?report=genbank&log$=nucltop&blast_rank=33&RID=8GNGZJNE013"",""KX047368.1"")"
"Stigmella rolandi voucher TLMF Lep 12172 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rolandi,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP150174.1?report=genbank&log$=nucltop&blast_rank=34&RID=8GNGZJNE013"",""KP150174.1"")"
"Stigmella sp. BOLD:AAI6169 voucher BIOUG24021-D08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD:AAI6169,579,579,95%,2e-160,92.75,640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT707450.1?report=genbank&log$=nucltop&blast_rank=35&RID=8GNGZJNE013"",""KT707450.1"")"
"Stigmella rosaefoliella voucher BIOUG03102-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rosaefoliella,579,579,100%,2e-160,91.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM552380.1?report=genbank&log$=nucltop&blast_rank=36&RID=8GNGZJNE013"",""KM552380.1"")"
"Nepticulidae sp. BOLD:AAY6977 voucher 10BBCLP-2591 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:AAY6977,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546778.1?report=genbank&log$=nucltop&blast_rank=37&RID=8GNGZJNE013"",""KM546778.1"")"
"Stigmella floslactella voucher KLM Lep 00316 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047457.1?report=genbank&log$=nucltop&blast_rank=38&RID=8GNGZJNE013"",""KX047457.1"")"
"Stigmella floslactella voucher KLM Lep 00312 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047320.1?report=genbank&log$=nucltop&blast_rank=39&RID=8GNGZJNE013"",""KX047320.1"")"
"Stigmella sp. BIOUG02091-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG02091-E01,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN413958.1?report=genbank&log$=nucltop&blast_rank=40&RID=8GNGZJNE013"",""MN413958.1"")"
"Stigmella quercipulchella voucher RMNH.INS.18192 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,575,575,99%,3e-159,91.59,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281286.1?report=genbank&log$=nucltop&blast_rank=41&RID=8GNGZJNE013"",""KX281286.1"")"
"Stigmella sp. amelanchier_yellow_usa voucher BIOUG03484-A09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. amelanchier_yellow_usa,575,575,93%,3e-159,93.11,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551882.1?report=genbank&log$=nucltop&blast_rank=42&RID=8GNGZJNE013"",""KM551882.1"")"
"Nepticulidae sp. BOLD-2016 voucher BIOUG17864-G09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD-2016,573,573,83%,1e-158,96.28,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126603.1?report=genbank&log$=nucltop&blast_rank=43&RID=8GNGZJNE013"",""KT126603.1"")"
"Stigmella rosaefoliella voucher BIOUG05354-G06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rosaefoliella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM553177.1?report=genbank&log$=nucltop&blast_rank=44&RID=8GNGZJNE013"",""KM553177.1"")"
"Stigmella rosaefoliella voucher BIOUG05354-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rosaefoliella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545422.1?report=genbank&log$=nucltop&blast_rank=45&RID=8GNGZJNE013"",""KM545422.1"")"
"Stigmella floslactella voucher RMNH.INS.12980 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,571,571,99%,3e-158,91.37,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281447.1?report=genbank&log$=nucltop&blast_rank=46&RID=8GNGZJNE013"",""KX281447.1"")"
"Stigmella floslactella voucher MM07007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873628.1?report=genbank&log$=nucltop&blast_rank=47&RID=8GNGZJNE013"",""HM873628.1"")"
"Stigmella sp. QuercuslobataCA voucher RMNH.INS.24538 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. QuercuslobataCA,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281418.1?report=genbank&log$=nucltop&blast_rank=48&RID=8GNGZJNE013"",""KX281418.1"")"
"Stigmella freyella voucher RMNH.INS.11230 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella freyella,568,568,100%,5e-157,91.15,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281296.1?report=genbank&log$=nucltop&blast_rank=49&RID=8GNGZJNE013"",""KX281296.1"")"
"Stigmella malella voucher RMNH.INS.538505 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella malella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049075.1?report=genbank&log$=nucltop&blast_rank=50&RID=8GNGZJNE013"",""KX049075.1"")"
"Stigmella sp. mahonia_usa voucher BIOUG03197-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. mahonia_usa,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554039.1?report=genbank&log$=nucltop&blast_rank=51&RID=8GNGZJNE013"",""KM554039.1"")"
"Stigmella roborella voucher MM25308 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608000.1?report=genbank&log$=nucltop&blast_rank=52&RID=8GNGZJNE013"",""MZ608000.1"")"
"Stigmella roborella voucher MM11168 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875034.1?report=genbank&log$=nucltop&blast_rank=53&RID=8GNGZJNE013"",""HM875034.1"")"
"Stigmella sp. BOLD:AAI6169 voucher BIOUG24021-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD:AAI6169,566,566,90%,2e-156,93.65,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT707779.1?report=genbank&log$=nucltop&blast_rank=54&RID=8GNGZJNE013"",""KT707779.1"")"
"Pyrausta castalis voucher Cesa_Lep_Pyr040 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Pyrausta castalis,564,564,99%,6e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN630688.1?report=genbank&log$=nucltop&blast_rank=55&RID=8GNGZJNE013"",""MN630688.1"")"
"Pyrausta castalis voucher MM20549 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pyrausta castalis,564,564,99%,6e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049814.1?report=genbank&log$=nucltop&blast_rank=56&RID=8GNGZJNE013"",""KX049814.1"")"
"Stigmella sp. BIOUG22087-B07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG22087-B07,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG365451.1?report=genbank&log$=nucltop&blast_rank=57&RID=8GNGZJNE013"",""MG365451.1"")"
"Stigmella sp. BIOUG22087-B05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG22087-B05,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG364301.1?report=genbank&log$=nucltop&blast_rank=58&RID=8GNGZJNE013"",""MG364301.1"")"
"Stigmella sp. PrunusKorea voucher RMNH.INS.29230 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. PrunusKorea,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281398.1?report=genbank&log$=nucltop&blast_rank=59&RID=8GNGZJNE013"",""KX281398.1"")"
"Stigmella sp. TrixisChile voucher RMNH.INS.24583 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. TrixisChile,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281237.1?report=genbank&log$=nucltop&blast_rank=60&RID=8GNGZJNE013"",""KX281237.1"")"
"Stigmella sp. mahonia_usa voucher BIOUG05354-G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. mahonia_usa,562,562,100%,2e-155,90.91,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546342.1?report=genbank&log$=nucltop&blast_rank=61&RID=8GNGZJNE013"",""KM546342.1"")"
"Stigmella sp. CastanopsisTaiwan voucher RMNH.INS.29279 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. CastanopsisTaiwan,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281405.1?report=genbank&log$=nucltop&blast_rank=62&RID=8GNGZJNE013"",""KX281405.1"")"
"Stigmella boehmeriae voucher RMNH.INS.29207 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella boehmeriae,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281380.1?report=genbank&log$=nucltop&blast_rank=63&RID=8GNGZJNE013"",""KX281380.1"")"
"Stigmella sp. BIOUG21329-C05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG21329-C05,556,556,100%,1e-153,90.67,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG467773.1?report=genbank&log$=nucltop&blast_rank=64&RID=8GNGZJNE013"",""MG467773.1"")"
"Stigmella sp. BIOUG22087-B04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG22087-B04,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359489.1?report=genbank&log$=nucltop&blast_rank=65&RID=8GNGZJNE013"",""MG359489.1"")"
"Stigmella basiguttella voucher RMNH.INS.23994 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella basiguttella,556,556,100%,1e-153,90.67,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281441.1?report=genbank&log$=nucltop&blast_rank=66&RID=8GNGZJNE013"",""KX281441.1"")"
"Stigmella rosaefoliella voucher RMNH.INS.18503 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rosaefoliella,556,556,99%,1e-153,90.84,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281433.1?report=genbank&log$=nucltop&blast_rank=67&RID=8GNGZJNE013"",""KX281433.1"")"
"Stigmella sp. PrunuscocomiliaGreece voucher RMNH.INS.18972 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. PrunuscocomiliaGreece,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281417.1?report=genbank&log$=nucltop&blast_rank=68&RID=8GNGZJNE013"",""KX281417.1"")"
"Stigmella roborella voucher RMNH.INS.24424 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281354.1?report=genbank&log$=nucltop&blast_rank=69&RID=8GNGZJNE013"",""KX281354.1"")"
"Stigmella isochalca voucher RMNH.INS.11815 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella isochalca,556,556,99%,1e-153,90.84,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281325.1?report=genbank&log$=nucltop&blast_rank=70&RID=8GNGZJNE013"",""KX281325.1"")"
"Stigmella procrastinella voucher RMNH.INS.18190 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella procrastinella,556,556,99%,1e-153,90.84,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281297.1?report=genbank&log$=nucltop&blast_rank=71&RID=8GNGZJNE013"",""KX281297.1"")"
"Stigmella aladina voucher RMNH.INS.24477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aladina,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281250.1?report=genbank&log$=nucltop&blast_rank=72&RID=8GNGZJNE013"",""KX281250.1"")"
"Stigmella sp. MahoniaUSA voucher RMNH.INS.18157 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. MahoniaUSA,556,556,99%,1e-153,90.84,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281245.1?report=genbank&log$=nucltop&blast_rank=73&RID=8GNGZJNE013"",""KX281245.1"")"
"Stigmella argentifasciella voucher RMNH.INS.24406 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella argentifasciella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281242.1?report=genbank&log$=nucltop&blast_rank=74&RID=8GNGZJNE013"",""KX281242.1"")"
"Stigmella confusella voucher BIOUG18531-E07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,556,556,82%,1e-153,95.93,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR940587.1?report=genbank&log$=nucltop&blast_rank=75&RID=8GNGZJNE013"",""KR940587.1"")"
"Stigmella thuringiaca voucher TLMF Lep 12336 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella thuringiaca,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP150170.1?report=genbank&log$=nucltop&blast_rank=76&RID=8GNGZJNE013"",""KP150170.1"")"
