Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella anomalella voucher MM09602 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874369.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM874369.1"")"
"Stigmella quercipulchella voucher jflandry0490 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,625,625,99%,3e-174,93.75,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096108.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""GU096108.1"")"
"Stigmella anomalella voucher BIOUG28252-C06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,623,623,83%,1e-173,98.85,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359398.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""MG359398.1"")"
"Stigmella anomalella voucher BIOUG23220-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,621,621,82%,3e-173,99.13,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG361635.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""MG361635.1"")"
"Stigmella quercipulchella voucher RMNH.INS.18192 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,619,619,99%,1e-172,93.51,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281286.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""KX281286.1"")"
"Stigmella argentifasciella voucher BIOUG23406-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella argentifasciella,617,617,100%,4e-172,93.30,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359457.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""MG359457.1"")"
"Stigmella hemargyrella voucher TLMF Lep 07492 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hemargyrella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253629.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""KP253629.1"")"
"Stigmella lediella voucher MM09352 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lediella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874243.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""HM874243.1"")"
"Stigmella villosella voucher BIOUG07661-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella villosella,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT133456.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""KT133456.1"")"
"Stigmella floslactella voucher KLM Lep 00316 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047457.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""KX047457.1"")"
"Stigmella floslactella voucher KLM Lep 00312 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047320.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""KX047320.1"")"
"Stigmella tityrella voucher RMNH.INS.24316 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tityrella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281451.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""KX281451.1"")"
"Stigmella basiguttella voucher RMNH.INS.23994 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella basiguttella,612,612,100%,2e-170,93.06,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281441.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""KX281441.1"")"
"Stigmella hemargyrella voucher RMNH.INS.11430 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hemargyrella,612,612,100%,2e-170,93.06,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281281.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""KX281281.1"")"
"Stigmella irregularis voucher RMNH.INS.23521 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella irregularis,612,612,99%,2e-170,93.25,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281279.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""KX281279.1"")"
"Stigmella villosella voucher RMNH.INS.18616 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella villosella,612,612,99%,2e-170,93.25,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281263.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""KX281263.1"")"
"Stigmella argentifasciella voucher RMNH.INS.24406 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella argentifasciella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281242.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""KX281242.1"")"
"Stigmella hemargyrella voucher MM19325 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hemargyrella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283996.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""JN283996.1"")"
"Stigmella floslactella voucher RMNH.INS.12980 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,610,610,99%,7e-170,93.05,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281447.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""KX281447.1"")"
"Stigmella villosella voucher BIOUG07661-F08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella villosella,610,610,99%,7e-170,93.05,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135788.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""KT135788.1"")"
"Stigmella floslactella voucher MM07007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,610,610,99%,7e-170,93.05,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873628.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""HM873628.1"")"
"Stigmella roborella voucher MM25308 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608000.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""MZ608000.1"")"
"Stigmella trimaculella voucher RMNH.INS.12623 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,606,606,100%,1e-168,92.82,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988385.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""JN988385.1"")"
"Stigmella trimaculella voucher MM15181 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853533.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""JF853533.1"")"
"Stigmella trimaculella voucher MM15180 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,606,606,100%,1e-168,92.82,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853532.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""JF853532.1"")"
"Stigmella catharticella voucher MM00879 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871236.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""HM871236.1"")"
"Stigmella catharticella voucher MM09645 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874400.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""HM874400.1"")"
"Stigmella sp. populus_CO voucher 10BBCLP-2354 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. populus_CO,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546008.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""KM546008.1"")"
"Stigmella villosella voucher BIOUG07625-H10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella villosella,603,603,99%,1e-167,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128458.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""KT128458.1"")"
"Stigmella suberivora voucher RMNH.INS.24311 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella suberivora,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281393.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""KX281393.1"")"
"Stigmella catharticella voucher RMNH.INS.11269 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281254.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""KX281254.1"")"
"Nepticulidae sp. voucher BIOUG13973-A05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp.,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM552436.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""OM552436.1"")"
"Nepticulidae sp. voucher BIOUG12989-G07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp.,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM706638.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""OM706638.1"")"
"Stigmella trimaculella voucher RMNH.INS.12926 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,601,601,100%,4e-167,92.58,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988386.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""JN988386.1"")"
"Stigmella tormentillella voucher RMNH.INS.17945 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tormentillella,601,601,100%,4e-167,92.58,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988384.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""JN988384.1"")"
"Stigmella catharticella voucher MM00878 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella catharticella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871235.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""HM871235.1"")"
"Stigmella roborella voucher MM11168 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875034.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""HM875034.1"")"
"Stigmella dorsiguttella voucher RMNH.INS.23487 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella dorsiguttella,599,599,99%,2e-166,92.57,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281382.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""KX281382.1"")"
"Stigmella sp. populus_CO voucher BIOUG06814-D09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. populus_CO,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550092.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""KM550092.1"")"
"Stigmella sp. TrixisChile voucher RMNH.INS.24583 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. TrixisChile,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281237.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""KX281237.1"")"
"Stigmella suberivora voucher KLM Lep 00280 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella suberivora,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047368.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""KX047368.1"")"
"Nepticulidae sp. voucher BIOUG13967-C10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp.,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM553975.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""OM553975.1"")"
"Nepticulidae sp. voucher BIOUG13885-F03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp.,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM606598.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""OM606598.1"")"
"Stigmella tormentillella voucher RMNH.INS.11701 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tormentillella,595,595,100%,2e-165,92.34,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988383.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""JN988383.1"")"
"Stigmella aeneofasciella voucher RMNH.INS.11321 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aeneofasciella,595,595,100%,2e-165,92.34,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988327.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""JN988327.1"")"
"Stigmella aeneofasciella voucher MM09632 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aeneofasciella,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874389.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""HM874389.1"")"
"Stigmella floslactella voucher TLMF Lep 08300 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,593,593,96%,7e-165,93.09,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573563.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""KM573563.1"")"
"Stigmella incognitella voucher RMNH.INS.17637 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella incognitella,592,592,99%,3e-164,92.31,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281432.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""KX281432.1"")"
"Stigmella incognitella voucher MM03523 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella incognitella,592,592,99%,3e-164,92.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872017.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""HM872017.1"")"
"Stigmella roborella voucher RMNH.INS.24424 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281354.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""KX281354.1"")"
"Stigmella zelkoviella voucher RMNH.INS.29552 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella zelkoviella,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281271.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""KX281271.1"")"
"Stigmella aladina voucher RMNH.INS.24477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aladina,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281250.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""KX281250.1"")"
"Nepticulidae sp. BOLD:ABY1038 voucher BIOUG03581-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ABY1038,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545983.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""KM545983.1"")"
"Nepticulidae sp. BOLD:ACB0648 voucher BIOUG03266-E08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ACB0648,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ088499.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""KJ088499.1"")"
"Stigmella myrtillella voucher RMNH.INS.23622 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,590,590,100%,1e-163,92.11,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988357.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""JN988357.1"")"
"Stigmella auromarginella voucher MM19328 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella auromarginella,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283999.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""JN283999.1"")"
"Stigmella sp. BIOUG02091-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG02091-E01,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN413958.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""MN413958.1"")"
"Stigmella splendidissimella voucher RMNH.INS.11366 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,588,588,99%,3e-163,92.09,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988382.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""JN988382.1"")"
"Stigmella splendidissimella voucher RMNH.INS.11365 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,588,588,99%,3e-163,92.09,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988381.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""JN988381.1"")"
"Stigmella basiguttella voucher MM00921 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella basiguttella,588,588,99%,3e-163,92.09,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871262.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""HM871262.1"")"
"Stigmella splendidissimella voucher MM09629 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874387.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""HM874387.1"")"
