Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella pretiosa voucher MM09642 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella pretiosa,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874397.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""HM874397.1"")"
"Stigmella samiatella voucher RMNH.INS.544339 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella samiatella,536,536,99%,1e-147,89.90,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048949.1?report=genbank&log$=nucltop&blast_rank=58&RID=8GNGZJNE013"",""KX048949.1"")"
"Stigmella samiatella voucher MM16019 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella samiatella,536,536,99%,1e-147,89.90,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854705.1?report=genbank&log$=nucltop&blast_rank=59&RID=8GNGZJNE013"",""JF854705.1"")"
"Stigmella samiatella voucher TLMF Lep 04513 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella samiatella,536,536,99%,1e-147,89.90,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN820126.1?report=genbank&log$=nucltop&blast_rank=60&RID=8GNGZJNE013"",""JN820126.1"")"
"Stigmella samiatella voucher TLMF Lep 02992 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella samiatella,536,536,99%,1e-147,89.90,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN284009.1?report=genbank&log$=nucltop&blast_rank=61&RID=8GNGZJNE013"",""JN284009.1"")"
"Stigmella sp. PrunuscocomiliaGreece voucher RMNH.INS.18972 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. PrunuscocomiliaGreece,534,534,100%,5e-147,89.71,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281417.1?report=genbank&log$=nucltop&blast_rank=62&RID=8GNGZJNE013"",""KX281417.1"")"
"Stigmella aladina voucher RMNH.INS.24477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aladina,534,534,100%,5e-147,89.71,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281250.1?report=genbank&log$=nucltop&blast_rank=63&RID=8GNGZJNE013"",""KX281250.1"")"
"Stigmella argentifasciella voucher RMNH.INS.24406 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella argentifasciella,534,534,100%,5e-147,89.71,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281242.1?report=genbank&log$=nucltop&blast_rank=64&RID=8GNGZJNE013"",""KX281242.1"")"
"Stigmella hybnerella voucher KLM Lep 00306 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hybnerella,532,532,99%,2e-146,89.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044942.1?report=genbank&log$=nucltop&blast_rank=65&RID=8GNGZJNE013"",""KX044942.1"")"
"Stigmella hybnerella voucher KLM Lep 00279 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hybnerella,532,532,99%,2e-146,89.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047281.1?report=genbank&log$=nucltop&blast_rank=66&RID=8GNGZJNE013"",""KX047281.1"")"
"Stigmella samiatella voucher RMNH.INS.538519 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella samiatella,531,531,99%,6e-146,89.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049466.1?report=genbank&log$=nucltop&blast_rank=67&RID=8GNGZJNE013"",""KX049466.1"")"
"Stigmella sp. BIOUG22049-A05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG22049-A05,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG363534.1?report=genbank&log$=nucltop&blast_rank=68&RID=8GNGZJNE013"",""MG363534.1"")"
"Stigmella johanssonella voucher RMNH.INS.17647 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,529,529,100%,2e-145,89.47,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281294.1?report=genbank&log$=nucltop&blast_rank=69&RID=8GNGZJNE013"",""KX281294.1"")"
"Stigmella sp. QuercusglaucaTaiwan voucher RMNH.INS.29434 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. QuercusglaucaTaiwan,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281255.1?report=genbank&log$=nucltop&blast_rank=70&RID=8GNGZJNE013"",""KX281255.1"")"
"Stigmella rhamnicola voucher BIOUG01503-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhamnicola,529,529,100%,2e-145,89.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144326.1?report=genbank&log$=nucltop&blast_rank=71&RID=8GNGZJNE013"",""KT144326.1"")"
"Stigmella johanssonella voucher KLM Lep 00277 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella johanssonella,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046694.1?report=genbank&log$=nucltop&blast_rank=72&RID=8GNGZJNE013"",""KX046694.1"")"
"Stigmella roborella voucher MM25308 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella roborella,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608000.1?report=genbank&log$=nucltop&blast_rank=73&RID=8GNGZJNE013"",""MZ608000.1"")"
"Stigmella plagicolella voucher MM19327 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella plagicolella,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283998.1?report=genbank&log$=nucltop&blast_rank=74&RID=8GNGZJNE013"",""JN283998.1"")"
"Stigmella confusella voucher MM00551 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871064.1?report=genbank&log$=nucltop&blast_rank=75&RID=8GNGZJNE013"",""HM871064.1"")"
"Stigmella anomalella voucher MM00358 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM870979.1?report=genbank&log$=nucltop&blast_rank=76&RID=8GNGZJNE013"",""HM870979.1"")"
"Stigmella confusella voucher MM14077 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875877.1?report=genbank&log$=nucltop&blast_rank=77&RID=8GNGZJNE013"",""HM875877.1"")"
