Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella luteella voucher KLM Lep 00297 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047523.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX047523.1"")"
"Stigmella sp. PrunusKorea voucher RMNH.INS.29230 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. PrunusKorea,638,638,99%,3e-178,94.24,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281398.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""KX281398.1"")"
"Stigmella nr. corylifoliella BOLD:ABX9484 voucher BIOUG03102-B02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nr. corylifoliella BOLD:ABX9484,638,638,99%,3e-178,94.24,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550964.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""KM550964.1"")"
"Stigmella corylifoliella voucher RMNH.INS.18197 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281400.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""KX281400.1"")"
"Stigmella sp. CarpinusVietnam voucher RMNH.INS.11566 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. CarpinusVietnam,632,632,99%,2e-176,94.20,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281337.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""KX281337.1"")"
"Stigmella nr. corylifoliella BOLD:ABX9484 voucher BIOUG03102-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nr. corylifoliella BOLD:ABX9484,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545060.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""KM545060.1"")"
"Stigmella corylifoliella voucher BIOUG05153-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,625,625,93%,3e-174,95.41,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541970.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""KM541970.1"")"
"Stigmella corylifoliella voucher BIOUG05153-F09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,621,621,93%,3e-173,95.38,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550151.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KM550151.1"")"
"Stigmella corylifoliella voucher BIOUG05153-D02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,621,621,93%,3e-173,95.38,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM547584.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""KM547584.1"")"
"Stigmella sp. THS-20160050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. THS-20160050,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610624.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""MZ610624.1"")"
"Stigmella sakhalinella voucher RMNH.INS.12647 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sakhalinella,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281425.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""KX281425.1"")"
"Stigmella sp. CaryaUSA voucher RMNH.INS.24415 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. CaryaUSA,616,616,99%,2e-171,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281375.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KX281375.1"")"
"Stigmella longisacca voucher RMNH.INS.29627 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella longisacca,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281336.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""KX281336.1"")"
"Stigmella betulicola voucher BIOUG07429-F09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT143503.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""KT143503.1"")"
"Stigmella microtheriella voucher RMNH.INS.23824 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,612,612,100%,2e-170,93.06,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281278.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""KX281278.1"")"
"Stigmella microtheriella voucher MM07008 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873629.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""HM873629.1"")"
"Stigmella betulicola voucher RMNH.INS.11438 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,610,610,99%,7e-170,93.05,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281327.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""KX281327.1"")"
"Stigmella betulicola voucher MM15178 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,610,610,99%,7e-170,93.05,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853530.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""JF853530.1"")"
"Stigmella betulicola voucher MM15177 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,610,610,99%,7e-170,93.05,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853529.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""JF853529.1"")"
"Stigmella betulicola voucher MM15176 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,610,610,99%,7e-170,93.05,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853528.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""JF853528.1"")"
"Stigmella microtheriella voucher KLM Lep 00286 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046110.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""KX046110.1"")"
"Stigmella microtheriella voucher MM07009 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873630.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""HM873630.1"")"
"Stigmella betulicola voucher BIOUG03508-A10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554730.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""KM554730.1"")"
"Stigmella betulicola voucher BIOUG03102-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540541.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""KM540541.1"")"
"Stigmella alnetella voucher MM09425 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella alnetella,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874266.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""HM874266.1"")"
"Stigmella juglandifoliella voucher BIOUG20773-H05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella juglandifoliella,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG466645.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""MG466645.1"")"
"Stigmella alnetella voucher RMNH.INS.23565 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella alnetella,599,599,99%,2e-166,92.75,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281438.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""KX281438.1"")"
"Stigmella myricafoliella voucher RMNH.INS.12523 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,599,599,98%,2e-166,92.94,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281356.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""KX281356.1"")"
"Stigmella nivenburgensis voucher TLMF Lep 27071 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nivenburgensis,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW378692.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""MW378692.1"")"
"Stigmella corylifoliella voucher BIOUG05153-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,595,595,89%,2e-165,95.44,613,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545899.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""KM545899.1"")"
"Stigmella tiliae voucher RMNH.INS.11750 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tiliae,593,593,99%,7e-165,92.33,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281234.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""KX281234.1"")"
"Stigmella betulicola voucher BIOUG03102-C12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM539774.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""KM539774.1"")"
"Stigmella tiliae voucher MM09206 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tiliae,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874167.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""HM874167.1"")"
"Stigmella flavipedella voucher RMNH.INS.18365 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella flavipedella,584,584,99%,4e-162,92.05,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281236.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""KX281236.1"")"
"Stigmella sp. FicusauriculataVietnam voucher RMNH.INS.17987 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. FicusauriculataVietnam,582,582,99%,2e-161,92.03,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281460.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""KX281460.1"")"
"Stigmella betulicola voucher BIOUG07054-C12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,582,582,99%,2e-161,91.85,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT140839.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""KT140839.1"")"
"Stigmella paradoxa voucher TLMF Lep 14683 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella paradoxa,582,582,99%,2e-161,91.85,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253217.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""KP253217.1"")"
"Stigmella alnetella voucher MM10673 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella alnetella,579,579,95%,2e-160,92.75,641,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874848.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""HM874848.1"")"
"Stigmella sp. AlnusCalifornia voucher RMNH.INS.29633 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. AlnusCalifornia,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281458.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""KX281458.1"")"
"Stigmella glutinosae voucher RMNH.INS.11343 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281372.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""KX281372.1"")"
"Stigmella nr. corylifoliella BOLD-2016 voucher BIOUG02500-E02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nr. corylifoliella BOLD-2016,573,573,89%,1e-158,94.37,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT141987.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""KT141987.1"")"
"Stigmella juglandifoliella voucher BIOUG20530-G10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella juglandifoliella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG464104.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""MG464104.1"")"
"Stigmella sp. BIOUG02538-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG02538-G02,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX862549.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""KX862549.1"")"
"Stigmella isochalca voucher RMNH.INS.11815 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella isochalca,571,571,99%,3e-158,91.55,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281325.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""KX281325.1"")"
"Stigmella corylifoliella voucher BIOUG13939-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,571,571,84%,3e-158,95.76,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR449009.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""KR449009.1"")"
"Stigmella glutinosae voucher MM10670 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874845.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""HM874845.1"")"
"Stigmella glutinosae voucher MM05731 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872919.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""HM872919.1"")"
"Stigmella xystodes voucher RMNH.INS.23860 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella xystodes,571,571,99%,3e-158,91.37,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU451328.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""GU451328.1"")"
"Stigmella corylifoliella voucher BIOUG14889-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,568,568,85%,5e-157,95.25,599,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT144953.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""KT144953.1"")"
"Stigmella corylifoliella voucher BIOUG07082-H11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,568,568,84%,5e-157,95.74,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551313.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""KM551313.1"")"
"Stigmella corylifoliella voucher BIOUG14948-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,566,566,84%,2e-156,95.48,570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG466121.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""MG466121.1"")"
"Stigmella betulicola voucher BIOUG16926-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella betulicola,566,566,93%,2e-156,92.82,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT140559.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""KT140559.1"")"
"Stigmella sp. BOLD-2016 voucher BIOUG10771-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BOLD-2016,566,566,86%,2e-156,95.00,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126926.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""KT126926.1"")"
"Stigmella myricafoliella voucher BIOUG19193-E12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,564,564,90%,6e-156,93.42,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR939887.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""KR939887.1"")"
"Stigmella myricafoliella voucher BIOUG19193-E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,564,564,90%,6e-156,93.42,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR937436.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""KR937436.1"")"
"Stigmella corylifoliella voucher BIOUG14278-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,562,562,83%,2e-155,95.70,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT139874.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""KT139874.1"")"
"Stigmella ulmivora voucher RMNH.INS.12595 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella ulmivora,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH917752.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""MH917752.1"")"
"Stigmella myricafoliella voucher BIOUG20774-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myricafoliella,560,560,90%,8e-155,93.39,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG466280.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""MG466280.1"")"
"Stigmella sp. HibiscustiliaceusTaiwan voucher RMNH.INS.29285 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. HibiscustiliaceusTaiwan,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281407.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""KX281407.1"")"
"Stigmella corylifoliella voucher BIOUG12352-E07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,560,560,83%,8e-155,95.44,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR450316.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""KR450316.1"")"
"Stigmella corylifoliella voucher BIOUG12492-G06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,560,560,83%,8e-155,95.44,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR446391.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""KR446391.1"")"
"Stigmella corylifoliella voucher BIOUG12352-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,560,560,83%,8e-155,95.44,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR454749.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""KR454749.1"")"
"Stigmella microtheriella voucher BIOUG07001-D03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,560,560,89%,8e-155,93.60,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM539697.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""KM539697.1"")"
"Stigmella quercipulchella voucher jflandry0490 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,558,558,99%,3e-154,90.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096108.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""GU096108.1"")"
"Stigmella corylifoliella voucher BIOUG14278-A10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,556,556,83%,1e-153,95.42,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT132708.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""KT132708.1"")"
"Stigmella corylifoliella voucher BIOUG12033-G09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,556,556,82%,1e-153,95.66,585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR447637.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""KR447637.1"")"
