Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Charanyca ferruginea genome assembly, chromosome: 1",Charanyca ferruginea,756,756,100%,0.0,99.28,37842521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX376057.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""OX376057.1"")"
"Charanyca ferruginea voucher NHMO-06032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,699,699,99%,0.0,96.88,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049370.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""KX049370.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04316 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428539.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""HM428539.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04233 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428457.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""HM428457.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04574 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU694562.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""GU694562.1"")"
"Euxoa terrealis voucher CCDB-20285-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa terrealis,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921076.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""MF921076.1"")"
"Euxoa auxiliaris voucher 06-JKA-0787 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921064.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""MF921064.1"")"
"Euxoa cinnabarina voucher CNCLEP00030804 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa cinnabarina,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921022.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""MF921022.1"")"
"Euxoa piniae voucher CNCLEP 00113892 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa piniae,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920895.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""MF920895.1"")"
"Euxoa terrealis voucher CCDB-20285-H09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa terrealis,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920515.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""MF920515.1"")"
"Euxoa auxiliaris voucher 08BBLEP-01680 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ384527.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""KJ384527.1"")"
"Euxoa auxiliaris voucher AWC-70069 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN284016.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""JN284016.1"")"
"Lepidoptera sp. BOLD:AAA2634 voucher BIOUG<CAN>:CCGBOLD00118 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM906985.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""HM906985.1"")"
"Euxoa catenula voucher 10-JDWBC-7502 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa catenula,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM869711.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""HM869711.1"")"
"Euxoa nr. satis BOLD:AAA2634 voucher 10-JDWBC-6027 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa nr. satis BOLD:AAA2634,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM868119.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""HM868119.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04251 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428475.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""HM428475.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04232 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428456.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""HM428456.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04225 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428449.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""HM428449.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04159 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428386.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""HM428386.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-02672 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428098.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""HM428098.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-01338 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM426786.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""HM426786.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-01336 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM426784.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""HM426784.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-03596 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU691232.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""GU691232.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-03488 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU691024.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""GU691024.1"")"
"Athetis lepigone haplotype ML33 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Athetis lepigone,616,616,99%,2e-171,93.29,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH193442.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""MH193442.1"")"
"Euxoa choris voucher NOC14520 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa choris,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF922234.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""MF922234.1"")"
"Euxoa xasta voucher BIOUG01412-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa xasta,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF922217.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""MF922217.1"")"
"Euxoa sp. 06-BLLOC-2492 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa sp. 06-BLLOC-2492,616,616,99%,2e-171,93.29,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF922105.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""MF922105.1"")"
"Euxoa atomaris voucher CNCNoctuoidea6458 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa atomaris,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921987.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""MF921987.1"")"
"Euxoa sp. JLB-0050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa sp. JLB-0050,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921878.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""MF921878.1"")"
"Euxoa sp. 06-BLLOC-2680 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa sp. 06-BLLOC-2680,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921553.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""MF921553.1"")"
"Euxoa satis voucher 2011GM-0561 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa satis,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921296.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""MF921296.1"")"
"Euxoa inyoca voucher CNCLEP 00113872 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inyoca,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920867.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""MF920867.1"")"
"Euxoa pestula voucher NOC14742 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa pestula,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920835.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""MF920835.1"")"
"Euxoa antica voucher CCDB-20285-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa antica,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920716.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""MF920716.1"")"
"Euxoa auxiliaris voucher AWC-07009 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920668.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""MF920668.1"")"
"Euxoa sp. 06-BLLOC-2695 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa sp. 06-BLLOC-2695,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920610.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""MF920610.1"")"
"Euxoa choris voucher 08-JDWBC-2109 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa choris,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ394335.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""KJ394335.1"")"
"Euxoa simona voucher NOC14740 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa simona,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ391989.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""KJ391989.1"")"
"Pseudorthodes vecors voucher DH007907 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pseudorthodes vecors,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ391860.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""KJ391860.1"")"
"Pseudorthodes vecors voucher DH010155 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pseudorthodes vecors,616,616,99%,2e-171,93.29,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ388640.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""KJ388640.1"")"
"Pseudorthodes vecors voucher DH007977 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pseudorthodes vecors,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ387371.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""KJ387371.1"")"
