Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora otidipennella voucher MM02479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,717,717,100%,0.0,97.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871560.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM871560.1"")"
"Coleophora taeniipennella voucher TLMF Lep 07528 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora taeniipennella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573278.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""KM573278.1"")"
"Coleophora taeniipennella voucher MM02500 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora taeniipennella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871576.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""HM871576.1"")"
"Coleophora sp. JFL096 voucher 10BBCLP-2814 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL096,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128367.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""KT128367.1"")"
"Coleophora latronella voucher jflandry0791 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora latronella,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095727.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""GU095727.1"")"
"Coleophora glaucicolella voucher jflandry0766 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095715.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""GU095715.1"")"
"Coleophora glaucicolella voucher DNA-ATBI-3490 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088321.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""GU088321.1"")"
"Coleophora glaucicolella voucher HLC-23827 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT147094.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""KT147094.1"")"
"Coleophora glaucicolella voucher HLC-23825 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137479.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""KT137479.1"")"
"Coleophora glaucicolella voucher HLC-23733 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT132364.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KT132364.1"")"
"Coleophora glaucicolella voucher HLC-23597 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT124886.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""KT124886.1"")"
"Coleophora glaucicolella voucher zmuc00023446 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT959614.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""KT959614.1"")"
"Coleophora glaucicolella voucher Lep429 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248885.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""JN248885.1"")"
"Coleophora glaucicolella voucher BC ZSM Lep 28817 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955461.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""HQ955461.1"")"
"Coleophora glaucicolella voucher MM02467 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871553.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""HM871553.1"")"
"Coleophora glaucicolella voucher MM06479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873277.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""HM873277.1"")"
"Coleophora glaucicolella voucher MM14164 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875924.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""HM875924.1"")"
"Coleophora glaucicolella voucher MM13705 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875739.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""HM875739.1"")"
"Coleophora argentialbella voucher BIOUG<CAN>:MDOK-2768 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora argentialbella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU801477.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""GU801477.1"")"
"Coleophora glaucicolella voucher BC ZSM Lep 27230 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU707252.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""GU707252.1"")"
"Coleophora glaucicolella voucher HLC-23537 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128656.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""KT128656.1"")"
"Coleophora sp. JFL096 voucher BIOUG<CAN>:10BBCLP-0676 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL096,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF841704.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""JF841704.1"")"
"Coleophora glaucicolella voucher DNA-ATBI-3526 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088323.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""GU088323.1"")"
"Coleophora alticolella voucher BC ZSM Lep 64434 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX045855.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""KX045855.1"")"
"Coleophora alticolella voucher RMNH.INS.540824 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047993.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""KX047993.1"")"
"Coleophora alticolella voucher TLMF Lep 12477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253467.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""KP253467.1"")"
"Coleophora alticolella voucher Lep176 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248812.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""JN248812.1"")"
"Coleophora alticolella voucher MM02463 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871552.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""HM871552.1"")"
"Coleophora alticolella voucher MM06554 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873326.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""HM873326.1"")"
"Coleophora alticolella voucher MM06242 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873143.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""HM873143.1"")"
"Coleophora alticolella voucher MM14166 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875925.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""HM875925.1"")"
"Coleophora glaucicolella voucher DNA-ATBI-3479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088328.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""GU088328.1"")"
"Coleophora alticolella voucher TLMF Lep 02845 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860327.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""JF860327.1"")"
"Coleophora alticolella voucher TLMF Lep 09213 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572233.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""KM572233.1"")"
"Coleophora alticolella voucher MM06383 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alticolella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ570344.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""HQ570344.1"")"
"Coleophora adjunctella voucher MM06553 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora adjunctella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873325.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""HM873325.1"")"
"Coleophora adjunctella voucher MM14197 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora adjunctella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875944.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""HM875944.1"")"
"Coleophora glissandella voucher BIOUG<CAN>:09BBELE-0860 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glissandella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM436105.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""HM436105.1"")"
"Coleophora latronella voucher jflandry2020 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora latronella,610,610,92%,7e-170,95.09,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096317.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""GU096317.1"")"
"Coleophora latronella voucher jflandry2016 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora latronella,610,610,92%,7e-170,95.09,595,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096316.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""GU096316.1"")"
"Coleophora latronella voucher jflandry2013 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora latronella,610,610,92%,7e-170,95.09,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096315.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""GU096315.1"")"
"Coleophora latronella voucher jflandry2014 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora latronella,610,610,92%,7e-170,95.09,596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096314.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""GU096314.1"")"
"Lepidoptera sp. BOLD:AAB5654 voucher BIOUG<CAN>:MDOK-4100 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora quadrilineella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265344.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""JN265344.1"")"
"Coleophora fagicorticella voucher jflandry2010 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora fagicorticella,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096308.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""GU096308.1"")"
"Coleophora fagicorticella voucher jflandry0005 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora fagicorticella,606,606,100%,1e-168,92.82,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095714.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""GU095714.1"")"
"Coleophora quadrilineella voucher jflandry0589 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora quadrilineella,603,603,100%,1e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095752.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""GU095752.1"")"
"Coleophora sp. JFL097 voucher BIOUG01690-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL097,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136049.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""KT136049.1"")"
"Coleophora glaucicolella voucher MM03170 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,599,599,92%,2e-166,94.57,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871850.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""HM871850.1"")"
"Coleophora sp. JFL097 voucher BIOUG01690-E09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sp. JFL097,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126287.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""KT126287.1"")"
"Coleophora narbonensis voucher MM16561 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora narbonensis,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX041536.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""KX041536.1"")"
"Coleophora bucovinella voucher Lep619 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora bucovinella,590,590,100%,1e-163,92.11,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248897.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""JN248897.1"")"
"Coleophora paripennella voucher MM00929 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora paripennella,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871265.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""HM871265.1"")"
"Coleophora peribenanderi voucher MM00894 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora peribenanderi,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871246.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""HM871246.1"")"
"Coleophora peribenanderi voucher MM06476 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora peribenanderi,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873274.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""HM873274.1"")"
"Coleophora paripennella voucher MM03924 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora paripennella,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872230.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""HM872230.1"")"
"Coleophora peribenanderi voucher MM13661 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora peribenanderi,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875719.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""HM875719.1"")"
"Coleophora latronella voucher jflandry0621 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora latronella,588,588,89%,3e-163,94.93,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095726.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""GU095726.1"")"
"Coleophora glaucicolella voucher DNA-ATBI-3485 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora glaucicolella,588,588,92%,3e-163,94.06,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088322.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""GU088322.1"")"
"Coleophora bagorella voucher MM21574 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora bagorella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048200.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""KX048200.1"")"
"Coleophora tanitella voucher MM21573 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora tanitella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048105.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""KX048105.1"")"
"Coleophora acutiphaga voucher MM21569 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora acutiphaga,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047793.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""KX047793.1"")"
"Coleophora cervinella voucher CNCLEP00060366 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora cervinella,584,584,100%,4e-162,91.90,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808963.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""KF808963.1"")"
"Coleophora granulatella voucher CNCLEP00004280 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,584,584,100%,4e-162,91.87,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808747.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""KF808747.1"")"
"Coleophora granulatella voucher CNCLEP00026532 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora granulatella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808718.1?report=genbank&log$=nucltop&blast_rank=76&RID=8E8XF8GY016"",""KF808718.1"")"
"Horisme plagiographa voucher 11ANIC-07626 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Horisme plagiographa,584,584,97%,4e-162,92.38,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF389083.1?report=genbank&log$=nucltop&blast_rank=77&RID=8E8XF8GY016"",""KF389083.1"")"
"Coleophora nubivagella voucher TLMF Lep 03643 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora nubivagella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265733.1?report=genbank&log$=nucltop&blast_rank=78&RID=8E8XF8GY016"",""JN265733.1"")"
