Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Phyllonorycter quercifoliella voucher CLV8408 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,734,734,100%,0.0,98.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046972.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX046972.1"")"
"Phyllonorycter quercifoliella voucher BC ZSM Lep 101713 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213024.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""MW213024.1"")"
"Phyllonorycter quercifoliella voucher BC ZSM Lep 76421 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212953.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""MW212953.1"")"
"Phyllonorycter quercifoliella voucher CLV2711 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280316.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""JN280316.1"")"
"Phyllonorycter quercifoliella voucher CLV231010 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280174.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""JN280174.1"")"
"Phyllonorycter quercifoliella voucher CLV1540 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX045373.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""KX045373.1"")"
"Phyllonorycter quercifoliella voucher RMNH.INS.544514 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049267.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""KX049267.1"")"
"Phyllonorycter quercifoliella voucher CLV1741 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046488.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KX046488.1"")"
"Phyllonorycter quercifoliella voucher BC ZSM Lep 46409 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040113.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""KX040113.1"")"
"Phyllonorycter quercifoliella voucher CLV8155 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,99%,0.0,95.42,651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214363.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""MW214363.1"")"
"Phyllonorycter quercifoliella voucher CLV1632 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213992.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""MW213992.1"")"
"Phyllonorycter quercifoliella voucher NHMO-DAR-11945 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213566.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""MW213566.1"")"
"Phyllonorycter quercifoliella voucher NHMO-DAR-11944 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211638.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""MW211638.1"")"
"Phyllonorycter quercifoliella voucher CLV2313 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280177.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""JN280177.1"")"
"Phyllonorycter quercifoliella voucher CLV2312 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280176.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""JN280176.1"")"
"Phyllonorycter quercifoliella voucher CLV1542 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF848179.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""JF848179.1"")"
"Phyllonorycter quercifoliella voucher MM05971 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872989.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""HM872989.1"")"
"Phyllonorycter quercifoliella voucher BIOUG41740-F04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,660,660,99%,0.0,95.20,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213906.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""MW213906.1"")"
"Phyllonorycter quercifoliella voucher RMNH.INS.538479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048252.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""KX048252.1"")"
"Phyllonorycter quercifoliella voucher RMNH.INS.538791 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047938.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""KX047938.1"")"
"Phyllonorycter quercifoliella voucher MM11142 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875020.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""HM875020.1"")"
"Phyllonorycter quercifoliella voucher MM11130 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,651,651,100%,0.0,94.74,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875011.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""HM875011.1"")"
"Phyllonorycter quercifoliella voucher BC ZSM Lep 35226 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,647,647,97%,0.0,95.33,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212500.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""MW212500.1"")"
"Phyllonorycter quercifoliella voucher BIOUG16710-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,601,601,88%,4e-167,95.95,610,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212690.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""MW212690.1"")"
"Phyllonorycter parisiella voucher KLM Lep 06023 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,595,595,100%,2e-165,92.36,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214277.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""MW214277.1"")"
"Phyllonorycter parisiella voucher TLMF Lep 17857 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,595,595,100%,2e-165,92.36,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213945.1?report=genbank&log$=nucltop&blast_rank=36&RID=8E8XF8GY016"",""MW213945.1"")"
"Phyllonorycter parisiella voucher MM25948 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,595,595,100%,2e-165,92.36,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212801.1?report=genbank&log$=nucltop&blast_rank=37&RID=8E8XF8GY016"",""MW212801.1"")"
"Phyllonorycter parisiella voucher CLV5795 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,595,595,100%,2e-165,92.36,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211165.1?report=genbank&log$=nucltop&blast_rank=38&RID=8E8XF8GY016"",""MW211165.1"")"
"Phyllonorycter parisiella voucher H01paris cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,595,595,100%,2e-165,92.36,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM392528.1?report=genbank&log$=nucltop&blast_rank=39&RID=8E8XF8GY016"",""HM392528.1"")"
"Phyllonorycter parisiella voucher CLV8166 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,592,592,99%,3e-164,92.33,652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212622.1?report=genbank&log$=nucltop&blast_rank=40&RID=8E8XF8GY016"",""MW212622.1"")"
"Phyllonorycter parisiella voucher CLV8027 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,592,592,99%,3e-164,92.33,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211467.1?report=genbank&log$=nucltop&blast_rank=41&RID=8E8XF8GY016"",""MW211467.1"")"
"Phyllonorycter klimeschiella voucher CLV2732 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter klimeschiella,584,584,100%,4e-162,91.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280328.1?report=genbank&log$=nucltop&blast_rank=42&RID=8E8XF8GY016"",""JN280328.1"")"
"Phyllonorycter parisiella voucher CLV1546 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,579,579,100%,2e-160,91.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF848183.1?report=genbank&log$=nucltop&blast_rank=43&RID=8E8XF8GY016"",""JF848183.1"")"
"Phyllonorycter messaniella voucher CLV2322 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044827.1?report=genbank&log$=nucltop&blast_rank=44&RID=8E8XF8GY016"",""KX044827.1"")"
"Phyllonorycter messaniella voucher CLV7908 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044364.1?report=genbank&log$=nucltop&blast_rank=45&RID=8E8XF8GY016"",""KX044364.1"")"
"Phyllonorycter messaniella voucher STG62 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX042216.1?report=genbank&log$=nucltop&blast_rank=46&RID=8E8XF8GY016"",""KX042216.1"")"
"Phyllonorycter messaniella voucher CLV5797 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214107.1?report=genbank&log$=nucltop&blast_rank=47&RID=8E8XF8GY016"",""MW214107.1"")"
"Phyllonorycter messaniella voucher UKLB31C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213319.1?report=genbank&log$=nucltop&blast_rank=48&RID=8E8XF8GY016"",""MW213319.1"")"
"Phyllonorycter messaniella voucher CLV5796 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212788.1?report=genbank&log$=nucltop&blast_rank=49&RID=8E8XF8GY016"",""MW212788.1"")"
"Phyllonorycter messaniella voucher CLV5793 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212490.1?report=genbank&log$=nucltop&blast_rank=50&RID=8E8XF8GY016"",""MW212490.1"")"
"Phyllonorycter messaniella voucher TLMF Lep 25096 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211882.1?report=genbank&log$=nucltop&blast_rank=51&RID=8E8XF8GY016"",""MW211882.1"")"
"Phyllonorycter messaniella voucher CLV2320 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211807.1?report=genbank&log$=nucltop&blast_rank=52&RID=8E8XF8GY016"",""MW211807.1"")"
"Phyllonorycter messaniella voucher CLV5794 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211786.1?report=genbank&log$=nucltop&blast_rank=53&RID=8E8XF8GY016"",""MW211786.1"")"
"Phyllonorycter messaniella voucher CLV2399 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280243.1?report=genbank&log$=nucltop&blast_rank=54&RID=8E8XF8GY016"",""JN280243.1"")"
"Phyllonorycter messaniella voucher CLV2319 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280183.1?report=genbank&log$=nucltop&blast_rank=55&RID=8E8XF8GY016"",""JN280183.1"")"
"Phyllonorycter messaniella voucher CLV2315 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280179.1?report=genbank&log$=nucltop&blast_rank=56&RID=8E8XF8GY016"",""JN280179.1"")"
"Phyllonorycter messaniella voucher CLV1695 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,573,573,100%,1e-158,91.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF848301.1?report=genbank&log$=nucltop&blast_rank=57&RID=8E8XF8GY016"",""JF848301.1"")"
"Phyllonorycter maestingella voucher BIOUG02881-A07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,571,571,99%,3e-158,91.39,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT141556.1?report=genbank&log$=nucltop&blast_rank=58&RID=8E8XF8GY016"",""KT141556.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 13653 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,571,571,99%,3e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214254.1?report=genbank&log$=nucltop&blast_rank=59&RID=8E8XF8GY016"",""MW214254.1"")"
"Phyllonorycter maestingella voucher CLV5790 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,571,571,99%,3e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213663.1?report=genbank&log$=nucltop&blast_rank=60&RID=8E8XF8GY016"",""MW213663.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99596 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,571,571,99%,3e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212818.1?report=genbank&log$=nucltop&blast_rank=61&RID=8E8XF8GY016"",""MW212818.1"")"
"Phyllonorycter parisiella voucher CLV8001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter parisiella,571,571,97%,3e-158,91.93,640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211224.1?report=genbank&log$=nucltop&blast_rank=62&RID=8E8XF8GY016"",""MW211224.1"")"
"Phyllonorycter maestingella voucher CLV1672 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,571,571,99%,3e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF848282.1?report=genbank&log$=nucltop&blast_rank=63&RID=8E8XF8GY016"",""JF848282.1"")"
"Phyllonorycter messaniella voucher MM19370 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782484.1?report=genbank&log$=nucltop&blast_rank=64&RID=8E8XF8GY016"",""KT782484.1"")"
"Phyllonorycter messaniella voucher RMNH.INS.544496 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047971.1?report=genbank&log$=nucltop&blast_rank=65&RID=8E8XF8GY016"",""KX047971.1"")"
"Phyllonorycter messaniella voucher TLMF Lep 11521 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP150260.1?report=genbank&log$=nucltop&blast_rank=66&RID=8E8XF8GY016"",""KP150260.1"")"
"Phyllonorycter quercifoliella voucher BIOUG17441-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,568,568,84%,5e-157,95.74,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212902.1?report=genbank&log$=nucltop&blast_rank=67&RID=8E8XF8GY016"",""MW212902.1"")"
"Phyllonorycter messaniella voucher UKLB19A01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter messaniella,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212073.1?report=genbank&log$=nucltop&blast_rank=68&RID=8E8XF8GY016"",""MW212073.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 10401 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214594.1?report=genbank&log$=nucltop&blast_rank=69&RID=8E8XF8GY016"",""MW214594.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99582 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214547.1?report=genbank&log$=nucltop&blast_rank=70&RID=8E8XF8GY016"",""MW214547.1"")"
"Phyllonorycter maestingella voucher NHMO-DAR-9064 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,599,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214515.1?report=genbank&log$=nucltop&blast_rank=71&RID=8E8XF8GY016"",""MW214515.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 15506 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214427.1?report=genbank&log$=nucltop&blast_rank=72&RID=8E8XF8GY016"",""MW214427.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 18296 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214336.1?report=genbank&log$=nucltop&blast_rank=73&RID=8E8XF8GY016"",""MW214336.1"")"
"Phyllonorycter maestingella voucher BC ZSM Lep 99742 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214145.1?report=genbank&log$=nucltop&blast_rank=74&RID=8E8XF8GY016"",""MW214145.1"")"
"Phyllonorycter maestingella voucher TLMF Lep 10447 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter maestingella,566,566,99%,2e-156,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213845.1?report=genbank&log$=nucltop&blast_rank=75&RID=8E8XF8GY016"",""MW213845.1"")"
